,DOM,delay
1,2,251949
2,2,252030
3,2,252111
4,2,252191
5,2,252272
6,2,252353
7,2,252434
8,2,252514
9,2,252595
10,2,252676
11,2,252756
12,2,252837
13,2,252918
14,2,252998
15,2,253079
16,2,253159
17,2,253241
18,2,253321
19,2,253401
20,2,253483
21,2,253563
22,2,253644
23,2,253725
24,2,253805
25,2,253886
26,2,253966
27,2,254047
28,2,254128
29,2,254208
30,2,254290
31,2,254370
32,2,254451
33,2,254532
34,2,254612
35,2,254693
36,2,254773
37,2,254854
38,2,254935
39,2,255015
40,2,255097
41,2,255177
42,2,255257
43,2,255338
44,2,255419
45,2,255500
46,2,255580
47,2,255661
48,2,255742
49,2,255822
50,2,255904
51,2,255984
52,2,256064
53,2,256145
54,2,256226
55,2,256307
56,2,256387
57,2,256469
58,2,256549
59,2,256629
60,2,256711
61,2,256791
62,2,256872
63,2,256952
64,2,257033
65,2,257114
66,2,257194
67,2,257275
68,2,257356
69,2,257436
70,2,257517
71,2,257597
72,2,257679
73,2,257759
74,2,257840
75,2,257921
76,2,258001
77,2,258081
78,2,258163
79,2,258243
80,2,258324
81,2,258405
82,2,258485
83,2,258567
84,2,258647
85,2,258728
86,2,258808
87,2,258889
88,2,258970
89,2,259050
90,2,259131
91,2,259212
92,2,259292
93,2,259373
94,2,259453
95,2,259534
96,2,259615
97,2,259696
98,2,259777
99,2,259857
100,2,259938
101,2,260019
102,2,260099
103,2,260180
104,2,260260
105,2,260342
106,2,260422
107,2,260502
108,2,260583
109,2,260664
110,2,260745
111,2,260825
112,2,260906
113,2,260987
114,2,261068
115,2,261148
116,2,261229
117,2,261309
118,2,261390
119,2,261471
120,2,261552
121,2,261632
122,2,261712
123,2,261794
124,2,261874
125,2,261955
126,2,262036
127,2,262116
128,2,262197
129,2,262278
130,2,262359
131,2,262439
132,2,262519
133,2,262601
134,2,262681
135,2,262762
136,2,262842
137,2,262923
138,2,263004
139,2,263085
140,2,263166
141,2,263246
142,2,263327
143,2,263408
144,2,263488
145,2,263569
146,2,263650
147,2,263730
148,2,263811
149,2,263891
150,2,263973
151,2,264053
152,2,264134
153,2,264215
154,2,264295
155,2,264376
156,2,264457
157,2,264537
158,2,264618
159,2,264698
160,2,264780
161,2,264860
162,2,264940
163,2,265021
164,2,265102
165,2,265183
166,2,265263
167,2,265344
168,2,265425
169,2,265506
170,2,265587
171,2,265667
172,2,265747
173,2,265829
174,2,265909
175,2,265990
176,2,266070
177,2,266152
178,2,266232
179,2,266312
180,2,266393
181,2,266474
182,2,266554
183,2,266635
184,2,266716
185,2,266797
186,2,266877
187,2,266958
188,2,267039
189,2,267119
190,2,267201
191,2,267281
192,2,267362
193,2,267442
194,2,267523
195,2,267604
196,2,267684
197,2,267765
198,2,267846
199,2,267926
200,2,268008
201,2,268088
202,2,268168
203,2,268249
204,2,268330
205,2,268411
206,2,268491
207,2,268571
208,2,268653
209,2,268733
210,2,268815
211,2,268895
212,2,268975
213,2,269057
214,2,269137
215,2,269218
216,2,269298
217,2,269379
218,2,269460
219,2,269540
220,2,269621
221,2,269702
222,2,269782
223,2,269863
224,2,269944
225,2,270025
226,2,270105
227,2,270185
228,2,270267
229,2,270347
230,2,270428
231,2,270508
232,2,270589
233,2,270670
234,2,270750
235,2,270832
236,2,270912
237,2,270992
238,2,271073
239,2,271154
240,2,271235
241,2,271315
242,2,271396
243,2,271477
244,2,271557
245,2,271638
246,2,271719
247,2,271799
248,2,271880
249,2,271961
250,2,272042
251,2,272122
252,2,272203
253,2,272284
254,2,272364
255,2,272446
256,2,272526
257,2,272606
258,2,272687
259,2,272767
260,2,272849
261,2,272929
262,2,273010
263,2,273091
264,2,273171
265,2,273252
266,2,273333
267,2,273413
268,2,273494
269,2,273574
270,2,273656
271,2,273736
272,2,273817
273,2,273898
274,2,273978
275,2,274060
276,2,274140
277,2,274220
278,2,274301
279,2,274382
280,2,274463
281,2,274543
282,2,274624
283,2,274705
284,2,274785
285,2,274866
286,2,274947
287,2,275027
288,2,275108
289,2,275188
290,2,275270
291,2,275350
292,2,275430
293,2,275512
294,2,275592
295,2,275673
296,2,275754
297,2,275834
298,2,275915
299,2,275995
300,2,276077
301,2,276157
302,2,276237
303,2,276319
304,2,276399
305,2,276479
306,2,276561
307,2,276641
308,2,276722
309,2,276802
310,2,276884
311,2,276964
312,2,277044
313,2,277126
314,2,277206
315,2,277286
316,2,277368
317,2,277447
318,2,277529
319,2,277609
320,2,277691
321,2,277771
322,2,277851
323,2,277933
324,4,30942
325,4,31023
326,4,31105
327,4,31186
328,4,31268
329,4,31349
330,4,31431
331,4,31512
332,4,31593
333,4,31675
334,4,31757
335,4,31838
336,4,31920
337,4,32000
338,4,32083
339,4,32163
340,4,32246
341,4,32327
342,4,32408
343,4,32490
344,4,32571
345,4,32652
346,4,32734
347,4,32815
348,4,32897
349,4,32979
350,4,33060
351,4,33141
352,4,33222
353,4,33305
354,4,33386
355,4,33468
356,4,33549
357,4,33630
358,4,33670
359,4,33753
360,4,33834
361,4,33916
362,4,33956
363,4,34040
364,4,34080
365,4,34162
366,4,34243
367,4,34325
368,4,34407
369,4,34488
370,4,34569
371,4,34651
372,4,34732
373,4,34814
374,4,34895
375,4,34976
376,4,35058
377,4,35139
378,4,35221
379,4,35302
380,4,35384
381,4,35465
382,4,35546
383,4,35628
384,4,35709
385,4,35792
386,4,35872
387,4,35953
388,4,36035
389,4,36117
390,4,36198
391,4,36280
392,4,36361
393,4,36443
394,4,36524
395,4,36606
396,4,36687
397,4,36768
398,4,36851
399,4,36931
400,4,37012
401,4,37094
402,4,37175
403,4,37258
404,4,37338
405,4,37419
406,4,37501
407,4,37583
408,4,37665
409,4,37746
410,4,37826
411,4,37909
412,4,37990
413,4,38072
414,4,38153
415,4,38234
416,4,38316
417,4,38397
418,4,38480
419,4,38560
420,4,38642
421,4,38723
422,4,38805
423,4,38887
424,4,38968
425,4,39048
426,4,39131
427,4,39212
428,4,39294
429,4,39375
430,4,39456
431,4,39538
432,4,39619
433,4,39701
434,4,39782
435,4,39864
436,4,39945
437,4,40026
438,4,40108
439,4,40190
440,4,40271
441,4,40352
442,4,40433
443,4,40515
444,4,40597
445,4,40638
446,4,40719
447,4,40801
448,4,40883
449,4,40964
450,4,41045
451,4,41087
452,4,41168
453,4,41250
454,4,41331
455,4,41412
456,4,41494
457,4,41576
458,4,41658
459,4,41739
460,4,41819
461,4,41902
462,4,41983
463,4,42065
464,4,42146
465,4,42227
466,4,42309
467,4,42390
468,4,42472
469,4,42553
470,4,42634
471,4,42716
472,4,42797
473,4,42879
474,4,42961
475,4,43042
476,4,43124
477,4,43205
478,4,43287
479,4,43368
480,4,43449
481,4,43531
482,4,43612
483,4,43694
484,4,43775
485,4,43856
486,4,43938
487,4,44019
488,4,44101
489,4,44182
490,4,44263
491,4,44346
492,4,44427
493,4,44509
494,4,44590
495,4,44670
496,4,44753
497,4,44834
498,4,44916
499,4,44997
500,4,45079
501,4,45160
502,4,45241
503,4,45323
504,4,45404
505,4,45485
506,4,45567
507,4,45648
508,4,45731
509,4,45811
510,4,45892
511,4,45975
512,4,46056
513,4,46138
514,4,46218
515,4,46300
516,4,46382
517,4,46463
518,4,46545
519,4,46626
520,4,46707
521,4,46789
522,4,46870
523,4,46952
524,4,47034
525,4,47115
526,4,47196
527,4,47277
528,4,47359
529,4,47441
530,4,47522
531,4,47604
532,4,47685
533,4,47767
534,4,47848
535,4,47929
536,4,48011
537,4,48092
538,4,48174
539,4,48255
540,4,48337
541,4,48418
542,4,48499
543,4,48581
544,4,48663
545,4,48744
546,4,48825
547,4,48907
548,4,48989
549,4,49070
550,4,49151
551,4,49233
552,4,49314
553,4,49396
554,4,49477
555,4,49558
556,4,49640
557,4,49722
558,4,49804
559,4,49884
560,4,49965
561,4,50048
562,4,50129
563,4,50210
564,4,50292
565,4,50373
566,4,50455
567,4,50536
568,4,50618
569,4,50699
570,4,50780
571,4,50863
572,4,50944
573,4,51025
574,4,51106
575,4,51187
576,4,51269
577,4,51351
578,4,51433
579,4,51514
580,4,51555
581,4,51636
582,4,51718
583,4,51800
584,4,51881
585,4,51962
586,4,52044
587,4,52125
588,4,52207
589,4,52288
590,4,52369
591,4,52452
592,4,52532
593,4,52574
594,4,52656
595,4,52736
596,4,52819
597,4,52900
598,4,52982
599,4,53063
600,4,53144
601,4,53226
602,4,53307
603,4,53389
604,4,53470
605,4,53551
606,4,53633
607,4,53714
608,4,53796
609,4,53878
610,4,53959
611,4,54041
612,4,54122
613,4,54204
614,4,54285
615,4,54366
616,4,54448
617,4,54529
618,4,54611
619,4,54692
620,4,54773
621,4,54855
622,4,54936
623,4,55018
624,4,55100
625,4,55180
626,4,55263
627,4,55343
628,4,55425
629,4,55506
630,4,55588
631,4,55670
632,4,55751
633,4,55833
634,4,55914
635,4,55995
636,4,56077
637,4,56158
638,4,56239
639,4,56321
640,4,56402
641,4,56484
642,4,56565
643,4,56648
644,4,56728
645,4,56770
646,4,56852
647,4,56933
648,5,188045
649,5,188087
650,5,188126
651,5,188166
652,5,188209
653,5,188247
654,5,188289
655,5,188328
656,5,188369
657,5,188410
658,5,188449
659,5,188491
660,5,188529
661,5,188571
662,5,188612
663,5,188650
664,5,188693
665,5,188733
666,5,188773
667,5,188814
668,5,188852
669,5,188893
670,5,188933
671,5,188975
672,5,189016
673,5,189054
674,5,189094
675,5,189137
676,5,189176
677,5,189216
