,DOM,TSCounter,time,tot
122,2.0,1623055011.9,49635401.0,25.0
123,4.0,1623055011.9,49635395.0,25.0
124,5.0,1623055011.9,49635393.0,25.0
125,6.0,1623055011.9,49635402.0,25.0
126,7.0,1623055011.9,49635399.0,25.0
127,8.0,1623055011.9,49635397.0,25.0
128,9.0,1623055011.9,49635394.0,25.0
129,10.0,1623055011.9,49635399.0,25.0
130,11.0,1623055011.9,49635396.0,25.0
131,12.0,1623055011.9,49635394.0,25.0
132,14.0,1623055011.9,49635394.0,25.0
133,16.0,1623055011.9,49635397.0,25.0
134,17.0,1623055011.9,49635394.0,25.0
135,18.0,1623055011.9,49635393.0,25.0
136,1.0,1623055012.9,66355657.0,25.0
137,2.0,1623055012.9,66355660.0,25.0
138,4.0,1623055012.9,66355654.0,25.0
139,5.0,1623055012.9,66355652.0,25.0
140,6.0,1623055012.9,66355661.0,25.0
141,7.0,1623055012.9,66355658.0,25.0
142,8.0,1623055012.9,66355656.0,25.0
143,9.0,1623055012.9,66355653.0,25.0
144,10.0,1623055012.9,66355657.0,26.0
145,11.0,1623055012.9,66355655.0,25.0
146,12.0,1623055012.9,66355652.0,25.0
147,14.0,1623055012.9,66355652.0,26.0
148,16.0,1623055012.9,66355656.0,25.0
149,17.0,1623055012.9,66355653.0,25.0
150,18.0,1623055012.9,66355652.0,25.0
151,1.0,1623055013.9,83075816.0,25.0
152,2.0,1623055013.9,83075819.0,25.0
153,4.0,1623055013.9,83075814.0,25.0
154,5.0,1623055013.9,83075811.0,25.0
155,6.0,1623055013.9,83075820.0,25.0
156,7.0,1623055013.9,83075818.0,25.0
157,8.0,1623055013.9,83075815.0,25.0
158,9.0,1623055013.9,83075812.0,25.0
159,10.0,1623055013.9,83075817.0,25.0
160,11.0,1623055013.9,83075814.0,25.0
161,12.0,1623055013.9,83075812.0,25.0
162,14.0,1623055013.9,83075812.0,25.0
163,16.0,1623055013.9,83075816.0,25.0
164,17.0,1623055013.9,83075812.0,25.0
165,18.0,1623055013.9,83075812.0,25.0
166,1.0,1623055014.9,99795596.0,25.0
167,2.0,1623055014.9,99795599.0,26.0
168,4.0,1623055014.9,99795594.0,25.0
169,5.0,1623055014.9,99795591.0,25.0
170,6.0,1623055014.9,99795600.0,26.0
171,7.0,1623055014.9,99795598.0,25.0
172,8.0,1623055014.9,99795595.0,25.0
173,9.0,1623055014.9,99795592.0,25.0
174,10.0,1623055014.9,99795597.0,25.0
175,11.0,1623055014.9,99795595.0,25.0
176,12.0,1623055014.9,99795592.0,25.0
177,14.0,1623055014.9,99795592.0,25.0
178,16.0,1623055014.9,99795596.0,25.0
179,17.0,1623055014.9,99795593.0,25.0
180,18.0,1623055014.9,99795592.0,25.0
181,1.0,1623055016.0,16515629.0,25.0
182,2.0,1623055016.0,16515632.0,25.0
183,4.0,1623055016.0,16515627.0,25.0
184,5.0,1623055016.0,16515624.0,25.0
185,6.0,1623055016.0,16515633.0,25.0
186,7.0,1623055016.0,16515631.0,25.0
187,8.0,1623055016.0,16515628.0,25.0
188,9.0,1623055016.0,16515625.0,25.0
189,10.0,1623055016.0,16515630.0,25.0
190,11.0,1623055016.0,16515628.0,25.0
191,12.0,1623055016.0,16515625.0,25.0
192,14.0,1623055016.0,16515625.0,25.0
193,16.0,1623055016.0,16515629.0,25.0
194,17.0,1623055016.0,16515626.0,25.0
