,DOM,time
400,11,61367860
401,12,61367869
402,13,61367861
403,14,61367864
404,16,61367868
405,18,61367864
406,1,78088670
407,2,78088673
408,6,78088674
409,11,78088665
410,12,78088674
411,13,78088666
412,14,78088669
413,16,78088673
414,18,78088668
415,1,94808825
416,2,94808828
417,6,94808829
418,11,94808820
419,12,94808830
420,13,94808821
421,14,94808824
422,16,94808828
423,18,94808824
424,1,11529586
425,2,11529589
426,6,11529590
427,11,11529581
428,12,11529591
429,13,11529582
430,14,11529585
431,16,11529589
432,18,11529585
433,1,28250368
434,2,28250372
435,6,28250372
436,11,28250363
437,12,28250373
438,13,28250365
439,14,28250367
440,16,28250371
441,18,28250367
442,1,44970744
443,2,44970748
444,6,44970748
445,11,44970739
446,12,44970749
447,13,44970740
448,14,44970743
449,16,44970747
450,18,44970743
451,1,61690997
452,2,61691000
453,6,61691001
454,11,61690992
455,12,61691002
456,13,61690993
457,14,61690996
458,16,61691000
459,18,61690996
460,1,78411660
461,2,78411664
462,6,78411664
463,11,78411656
464,12,78411665
465,13,78411657
466,14,78411660
467,16,78411663
468,18,78411659
469,1,95132570
470,2,95132574
471,6,95132575
472,11,95132566
473,12,95132575
474,13,95132567
475,14,95132570
476,16,95132573
477,18,95132569
478,1,11853722
479,2,11853726
480,6,11853726
481,11,11853717
482,12,11853727
483,13,11853718
484,14,11853721
485,16,11853725
486,18,11853721
487,1,28574519
488,2,28574522
489,6,28574523
490,11,28574514
491,12,28574524
492,13,28574515
493,14,28574518
494,16,28574522
495,18,28574518
496,1,45295483
497,2,45295486
498,6,45295487
499,11,45295478
500,12,45295488
501,13,45295479
502,14,45295482
503,16,45295486
504,18,45295482
505,1,62016280
506,2,62016283
507,6,62016284
508,11,62016275
509,12,62016285
510,13,62016276
511,14,62016279
512,16,62016283
513,18,62016279
514,1,78736876
515,2,78736879
516,6,78736880
517,11,78736871
518,12,78736881
519,13,78736872
520,14,78736875
521,16,78736879
522,18,78736875
523,1,95456817
524,2,95456820
525,6,95456821
526,11,95456812
527,12,95456822
528,13,95456814
529,14,95456816
530,16,95456820
531,18,95456816
532,1,12177717
533,2,12177721
534,6,12177722
535,11,12177712
536,12,12177722
537,13,12177714
538,14,12177717
539,16,12177720
540,18,12177716
541,1,28898616
542,2,28898619
543,6,28898620
544,11,28898611
545,12,28898621
546,13,28898612
547,14,28898615
548,16,28898619
549,18,28898615
550,1,45619328
551,2,45619331
552,6,45619332
553,11,45619323
554,12,45619333
555,13,45619324
556,14,45619327
557,16,45619331
558,18,45619327
559,1,62340229
560,2,62340232
561,6,62340233
562,11,62340224
563,12,62340233
564,13,62340225
565,14,62340228
566,16,62340231
567,18,62340227
568,1,79061332
569,2,79061335
570,6,79061336
571,11,79061327
572,12,79061337
573,13,79061328
574,14,79061331
575,16,79061335
576,18,79061331
577,1,95782166
578,2,95782169
579,6,95782170
580,11,95782161
581,12,95782171
582,13,95782162
583,14,95782165
584,16,95782169
585,18,95782165
586,1,12502460
587,2,12502463
588,6,12502464
589,11,12502455
590,12,12502465
591,13,12502456
592,14,12502459
593,16,12502463
594,18,12502459
595,1,29223045
596,2,29223048
597,6,29223049
598,11,29223040
599,12,29223050
600,13,29223041
601,14,29223044
602,16,29223048
603,18,29223044
604,1,45943830
605,2,45943834
606,6,45943835
607,11,45943826
608,12,45943835
609,13,45943827
610,14,45943830
611,16,45943833
612,18,45943829
613,1,62665026
614,2,62665030
615,6,62665030
616,11,62665021
617,12,62665031
618,13,62665023
619,14,62665026
620,16,62665029
621,18,62665025
622,1,79385818
623,2,79385822
624,6,79385822
625,11,79385813
626,12,79385823
627,13,79385815
628,14,79385818
629,16,79385821
630,18,79385817
631,1,96106640
632,2,96106644
633,6,96106644
634,11,96106635
635,12,96106645
636,13,96106637
637,14,96106640
638,16,96106643
639,18,96106639
640,1,12827572
641,2,12827576
642,6,12827577
643,11,12827567
644,12,12827577
645,13,12827569
646,14,12827572
647,16,12827575
648,18,12827571
649,1,29548251
650,2,29548255
651,6,29548255
652,11,29548246
653,12,29548256
654,13,29548247
655,14,29548250
656,16,29548254
657,18,29548250
658,1,46268988
659,2,46268991
660,6,46268992
661,11,46268983
662,12,46268993
663,13,46268984
664,14,46268987
665,16,46268991
666,18,46268987
667,1,62989370
668,2,62989374
669,6,62989374
670,11,62989365
671,12,62989375
672,13,62989367
673,14,62989370
674,16,62989373
675,18,62989369
676,1,79709722
677,2,79709726
678,6,79709726
679,11,79709717
680,12,79709727
681,13,79709719
682,14,79709722
683,16,79709725
684,18,79709721
685,1,96430463
686,2,96430466
687,6,96430467
688,11,96430458
689,12,96430468
690,13,96430459
691,14,96430462
692,16,96430466
693,18,96430462
694,1,13150807
695,2,13150810
696,6,13150811
697,11,13150802
698,12,13150812
699,13,13150803
700,14,13150806
701,16,13150810
702,18,13150806
703,1,29870874
704,2,29870877
705,6,29870878
706,11,29870869
707,12,29870879
708,13,29870870
709,14,29870873
710,16,29870877
711,18,29870873
712,1,46590623
713,2,46590627
714,6,46590627
715,11,46590619
716,12,46590628
717,13,46590620
718,14,46590623
719,16,46590626
720,18,46590622
