,DOM,delay,Time
1,2.0,3.0,1620608401.1
2,6.0,4.0,1620608401.1
3,11.0,-5.0,1620608401.1
4,12.0,4.0,1620608401.1
5,13.0,-4.0,1620608401.1
6,14.0,-1.0,1620608401.1
7,16.0,3.0,1620608401.1
8,18.0,-1.0,1620608401.1
9,2.0,3.0,1620608402.1
10,6.0,4.0,1620608402.1
11,11.0,-5.0,1620608402.1
12,12.0,5.0,1620608402.1
13,13.0,-4.0,1620608402.1
14,14.0,-1.0,1620608402.1
15,16.0,3.0,1620608402.1
16,18.0,-1.0,1620608402.1
17,2.0,4.0,1620608403.1
18,6.0,5.0,1620608403.1
19,11.0,-4.0,1620608403.1
20,12.0,5.0,1620608403.1
21,13.0,-3.0,1620608403.1
22,14.0,0.0,1620608403.1
23,16.0,3.0,1620608403.1
24,18.0,-1.0,1620608403.1
25,2.0,4.0,1620608404.1
26,6.0,4.0,1620608404.1
27,11.0,-5.0,1620608404.1
28,12.0,5.0,1620608404.1
29,13.0,-3.0,1620608404.1
30,14.0,0.0,1620608404.1
31,16.0,3.0,1620608404.1
32,18.0,-1.0,1620608404.1
33,2.0,4.0,1620608405.1
34,6.0,5.0,1620608405.1
35,11.0,-4.0,1620608405.1
36,12.0,5.0,1620608405.1
37,13.0,-3.0,1620608405.1
38,14.0,0.0,1620608405.1
39,16.0,3.0,1620608405.1
40,18.0,-1.0,1620608405.1
41,2.0,4.0,1620608406.2
42,6.0,4.0,1620608406.2
43,11.0,-5.0,1620608406.2
44,12.0,5.0,1620608406.2
45,13.0,-3.0,1620608406.2
46,14.0,0.0,1620608406.2
47,16.0,3.0,1620608406.2
48,18.0,-1.0,1620608406.2
49,2.0,3.0,1620608407.2
50,6.0,4.0,1620608407.2
51,11.0,-5.0,1620608407.2
52,12.0,5.0,1620608407.2
53,13.0,-4.0,1620608407.2
54,14.0,-1.0,1620608407.2
55,16.0,3.0,1620608407.2
56,18.0,-1.0,1620608407.2
57,2.0,4.0,1620608408.2
58,6.0,5.0,1620608408.2
59,11.0,-4.0,1620608408.2
60,12.0,5.0,1620608408.2
61,13.0,-3.0,1620608408.2
62,14.0,0.0,1620608408.2
63,16.0,3.0,1620608408.2
64,18.0,-1.0,1620608408.2
65,2.0,3.0,1620608409.2
66,6.0,4.0,1620608409.2
67,11.0,-5.0,1620608409.2
68,12.0,4.0,1620608409.2
69,13.0,-4.0,1620608409.2
70,14.0,-1.0,1620608409.2
71,16.0,3.0,1620608409.2
72,18.0,-1.0,1620608409.2
73,2.0,3.0,1620608410.2
74,6.0,4.0,1620608410.2
75,11.0,-5.0,1620608410.2
76,12.0,5.0,1620608410.2
77,13.0,-4.0,1620608410.2
78,14.0,-1.0,1620608410.2
79,16.0,3.0,1620608410.2
80,18.0,-1.0,1620608410.2
81,2.0,3.0,1620608411.2
82,6.0,4.0,1620608411.2
83,11.0,-5.0,1620608411.2
84,12.0,4.0,1620608411.2
85,13.0,-4.0,1620608411.2
86,14.0,-1.0,1620608411.2
87,16.0,3.0,1620608411.2
88,18.0,-1.0,1620608411.2
89,2.0,3.0,1620608412.3
