,DOM,delay,Time
1,2.0,3.0,1620669601.1
2,4.0,-3.0,1620669601.1
3,6.0,4.0,1620669601.1
4,10.0,4.0,1620669601.1
5,11.0,1.0,1620669601.1
6,12.0,-2.0,1620669601.1
7,13.0,2.0,1620669601.1
8,14.0,-7.0,1620669601.1
9,16.0,-4.0,1620669601.1
10,17.0,-7.0,1620669601.1
11,18.0,-8.0,1620669601.1
12,2.0,3.0,1620669602.2
13,4.0,-3.0,1620669602.2
14,6.0,4.0,1620669602.2
15,10.0,4.0,1620669602.2
16,11.0,2.0,1620669602.2
17,12.0,-1.0,1620669602.2
18,13.0,3.0,1620669602.2
19,14.0,-7.0,1620669602.2
20,16.0,-3.0,1620669602.2
21,17.0,-6.0,1620669602.2
22,18.0,-7.0,1620669602.2
23,2.0,3.0,1620669603.2
24,4.0,-2.0,1620669603.2
25,6.0,4.0,1620669603.2
26,10.0,4.0,1620669603.2
27,11.0,2.0,1620669603.2
28,12.0,-1.0,1620669603.2
29,13.0,3.0,1620669603.2
30,14.0,-7.0,1620669603.2
31,16.0,-3.0,1620669603.2
32,17.0,-6.0,1620669603.2
33,18.0,-7.0,1620669603.2
34,2.0,3.0,1620669604.2
35,4.0,-2.0,1620669604.2
36,6.0,4.0,1620669604.2
37,10.0,4.0,1620669604.2
38,11.0,2.0,1620669604.2
39,12.0,-1.0,1620669604.2
40,13.0,3.0,1620669604.2
41,14.0,-7.0,1620669604.2
42,16.0,-3.0,1620669604.2
43,17.0,-6.0,1620669604.2
44,18.0,-7.0,1620669604.2
45,2.0,3.0,1620669605.2
46,4.0,-3.0,1620669605.2
47,6.0,4.0,1620669605.2
48,10.0,4.0,1620669605.2
49,11.0,2.0,1620669605.2
50,12.0,-1.0,1620669605.2
51,13.0,2.0,1620669605.2
52,14.0,-7.0,1620669605.2
53,16.0,-3.0,1620669605.2
54,17.0,-6.0,1620669605.2
55,18.0,-7.0,1620669605.2
56,2.0,3.0,1620669606.2
57,4.0,-3.0,1620669606.2
58,6.0,4.0,1620669606.2
59,10.0,4.0,1620669606.2
60,11.0,1.0,1620669606.2
