,DOM,delay,Time
1,2.0,4.0,1620810001.1
2,4.0,-2.0,1620810001.1
3,6.0,4.0,1620810001.1
4,10.0,5.0,1620810001.1
5,11.0,2.0,1620810001.1
6,12.0,-1.0,1620810001.1
7,13.0,3.0,1620810001.1
8,14.0,-6.0,1620810001.1
9,16.0,-3.0,1620810001.1
10,17.0,-6.0,1620810001.1
11,18.0,-7.0,1620810001.1
12,2.0,3.0,1620810002.1
13,4.0,-3.0,1620810002.1
14,6.0,4.0,1620810002.1
15,10.0,4.0,1620810002.1
16,11.0,2.0,1620810002.1
17,12.0,-1.0,1620810002.1
18,13.0,3.0,1620810002.1
19,14.0,-7.0,1620810002.1
20,16.0,-3.0,1620810002.1
21,17.0,-6.0,1620810002.1
22,18.0,-7.0,1620810002.1
23,2.0,4.0,1620810003.1
24,4.0,-2.0,1620810003.1
25,6.0,5.0,1620810003.1
26,10.0,5.0,1620810003.1
27,11.0,2.0,1620810003.1
28,12.0,-1.0,1620810003.1
29,13.0,3.0,1620810003.1
30,14.0,-6.0,1620810003.1
31,16.0,-3.0,1620810003.1
32,17.0,-6.0,1620810003.1
33,18.0,-7.0,1620810003.1
34,2.0,3.0,1620810004.1
35,4.0,-3.0,1620810004.1
36,6.0,4.0,1620810004.1
37,10.0,4.0,1620810004.1
38,11.0,1.0,1620810004.1
39,12.0,-2.0,1620810004.1
40,13.0,2.0,1620810004.1
41,14.0,-7.0,1620810004.1
42,16.0,-3.0,1620810004.1
43,17.0,-7.0,1620810004.1
44,18.0,-7.0,1620810004.1
45,2.0,4.0,1620810005.2
46,4.0,-2.0,1620810005.2
47,6.0,4.0,1620810005.2
48,10.0,4.0,1620810005.2
49,11.0,2.0,1620810005.2
50,12.0,-1.0,1620810005.2
51,13.0,3.0,1620810005.2
52,14.0,-7.0,1620810005.2
53,16.0,-3.0,1620810005.2
54,17.0,-6.0,1620810005.2
55,18.0,-7.0,1620810005.2
56,2.0,3.0,1620810006.2
57,4.0,-2.0,1620810006.2
58,6.0,4.0,1620810006.2
59,10.0,4.0,1620810006.2
60,11.0,2.0,1620810006.2
61,12.0,-1.0,1620810006.2
62,13.0,3.0,1620810006.2
63,14.0,-7.0,1620810006.2
64,16.0,-3.0,1620810006.2
65,17.0,-6.0,1620810006.2
66,18.0,-7.0,1620810006.2
67,2.0,3.0,1620810007.2
68,4.0,-3.0,1620810007.2
69,6.0,4.0,1620810007.2
70,10.0,4.0,1620810007.2
71,11.0,1.0,1620810007.2
72,12.0,-2.0,1620810007.2
73,13.0,2.0,1620810007.2
74,14.0,-7.0,1620810007.2
75,16.0,-4.0,1620810007.2
76,17.0,-7.0,1620810007.2
77,18.0,-8.0,1620810007.2
78,2.0,4.0,1620810008.2
79,4.0,-2.0,1620810008.2
80,6.0,4.0,1620810008.2
81,10.0,4.0,1620810008.2
82,11.0,2.0,1620810008.2
83,12.0,-1.0,1620810008.2
84,13.0,3.0,1620810008.2
85,14.0,-6.0,1620810008.2
86,16.0,-3.0,1620810008.2
87,17.0,-6.0,1620810008.2
88,18.0,-7.0,1620810008.2
89,2.0,3.0,1620810009.2
90,4.0,-3.0,1620810009.2
91,6.0,4.0,1620810009.2
92,10.0,4.0,1620810009.2
93,11.0,2.0,1620810009.2
94,12.0,-1.0,1620810009.2
95,13.0,3.0,1620810009.2
96,14.0,-7.0,1620810009.2
97,16.0,-3.0,1620810009.2
98,17.0,-6.0,1620810009.2
99,18.0,-7.0,1620810009.2
100,2.0,3.0,1620810010.2
101,4.0,-3.0,1620810010.2
102,6.0,4.0,1620810010.2
103,10.0,4.0,1620810010.2
104,11.0,1.0,1620810010.2
105,12.0,-1.0,1620810010.2
106,13.0,2.0,1620810010.2
107,14.0,-7.0,1620810010.2
108,16.0,-3.0,1620810010.2
109,17.0,-7.0,1620810010.2
110,18.0,-8.0,1620810010.2
111,2.0,3.0,1620810011.3
112,4.0,-2.0,1620810011.3
113,6.0,4.0,1620810011.3
114,10.0,4.0,1620810011.3
115,11.0,2.0,1620810011.3
116,12.0,-1.0,1620810011.3
117,13.0,3.0,1620810011.3
118,14.0,-7.0,1620810011.3
119,16.0,-3.0,1620810011.3
120,17.0,-6.0,1620810011.3
121,18.0,-7.0,1620810011.3
122,2.0,3.0,1620810012.3
123,4.0,-3.0,1620810012.3
124,6.0,4.0,1620810012.3
125,10.0,4.0,1620810012.3
126,11.0,1.0,1620810012.3
127,12.0,-2.0,1620810012.3
128,13.0,2.0,1620810012.3
129,14.0,-7.0,1620810012.3
130,16.0,-4.0,1620810012.3
131,17.0,-7.0,1620810012.3
132,18.0,-8.0,1620810012.3
133,2.0,3.0,1620810013.3
134,4.0,-3.0,1620810013.3
135,6.0,4.0,1620810013.3
136,10.0,4.0,1620810013.3
137,11.0,1.0,1620810013.3
138,12.0,-2.0,1620810013.3
139,13.0,2.0,1620810013.3
140,14.0,-7.0,1620810013.3
141,16.0,-3.0,1620810013.3
142,17.0,-7.0,1620810013.3
143,18.0,-8.0,1620810013.3
144,2.0,3.0,1620810014.3
145,4.0,-2.0,1620810014.3
146,6.0,4.0,1620810014.3
147,10.0,4.0,1620810014.3
148,11.0,2.0,1620810014.3
149,12.0,-1.0,1620810014.3
150,13.0,3.0,1620810014.3
151,14.0,-7.0,1620810014.3
152,16.0,-3.0,1620810014.3
153,17.0,-6.0,1620810014.3
154,18.0,-7.0,1620810014.3
155,2.0,3.0,1620810015.3
156,4.0,-2.0,1620810015.3
157,6.0,4.0,1620810015.3
158,10.0,4.0,1620810015.3
159,11.0,2.0,1620810015.3
160,12.0,-1.0,1620810015.3
161,13.0,3.0,1620810015.3
162,14.0,-7.0,1620810015.3
163,16.0,-3.0,1620810015.3
164,17.0,-6.0,1620810015.3
165,18.0,-7.0,1620810015.3
166,2.0,3.0,1620810016.3
167,4.0,-3.0,1620810016.3
168,6.0,4.0,1620810016.3
169,10.0,4.0,1620810016.3
170,11.0,2.0,1620810016.3
171,12.0,-1.0,1620810016.3
172,13.0,3.0,1620810016.3
173,14.0,-7.0,1620810016.3
174,16.0,-3.0,1620810016.3
175,17.0,-7.0,1620810016.3
176,18.0,-7.0,1620810016.3
177,2.0,3.0,1620810017.4
178,4.0,-2.0,1620810017.4
179,6.0,4.0,1620810017.4
180,10.0,4.0,1620810017.4
181,11.0,2.0,1620810017.4
182,12.0,-1.0,1620810017.4
183,13.0,3.0,1620810017.4
184,14.0,-7.0,1620810017.4
185,16.0,-3.0,1620810017.4
186,17.0,-6.0,1620810017.4
187,18.0,-7.0,1620810017.4
188,2.0,3.0,1620810018.4
189,4.0,-3.0,1620810018.4
190,6.0,4.0,1620810018.4
191,10.0,4.0,1620810018.4
192,11.0,2.0,1620810018.4
193,12.0,-1.0,1620810018.4
194,13.0,3.0,1620810018.4
195,14.0,-7.0,1620810018.4
196,16.0,-3.0,1620810018.4
197,17.0,-6.0,1620810018.4
198,18.0,-7.0,1620810018.4
199,2.0,3.0,1620810019.4
200,4.0,-2.0,1620810019.4
201,6.0,4.0,1620810019.4
202,10.0,4.0,1620810019.4
203,11.0,2.0,1620810019.4
204,12.0,-1.0,1620810019.4
205,13.0,3.0,1620810019.4
206,14.0,-7.0,1620810019.4
207,16.0,-3.0,1620810019.4
208,17.0,-6.0,1620810019.4
209,18.0,-7.0,1620810019.4
210,2.0,4.0,1620810020.4
211,4.0,-2.0,1620810020.4
212,6.0,4.0,1620810020.4
213,10.0,5.0,1620810020.4
214,11.0,2.0,1620810020.4
215,12.0,-1.0,1620810020.4
216,13.0,3.0,1620810020.4
217,14.0,-6.0,1620810020.4
218,16.0,-3.0,1620810020.4
219,17.0,-6.0,1620810020.4
220,18.0,-7.0,1620810020.4
221,2.0,4.0,1620810021.4
222,4.0,-2.0,1620810021.4
223,6.0,5.0,1620810021.4
224,10.0,5.0,1620810021.4
225,11.0,2.0,1620810021.4
226,12.0,-1.0,1620810021.4
227,13.0,3.0,1620810021.4
228,14.0,-6.0,1620810021.4
229,16.0,-3.0,1620810021.4
230,17.0,-6.0,1620810021.4
