,DOM,delay,Time
1,2.0,3.0,1620723601.2
2,4.0,-3.0,1620723601.2
3,6.0,4.0,1620723601.2
4,10.0,4.0,1620723601.2
5,11.0,1.0,1620723601.2
6,12.0,-1.0,1620723601.2
7,13.0,2.0,1620723601.2
8,14.0,-7.0,1620723601.2
9,16.0,-3.0,1620723601.2
10,17.0,-7.0,1620723601.2
11,18.0,-7.0,1620723601.2
12,2.0,3.0,1620723602.2
13,4.0,-3.0,1620723602.2
14,6.0,4.0,1620723602.2
15,10.0,4.0,1620723602.2
16,11.0,2.0,1620723602.2
17,12.0,-1.0,1620723602.2
18,13.0,3.0,1620723602.2
19,14.0,-7.0,1620723602.2
20,16.0,-3.0,1620723602.2
21,17.0,-6.0,1620723602.2
22,18.0,-7.0,1620723602.2
23,2.0,3.0,1620723603.2
24,4.0,-3.0,1620723603.2
25,6.0,4.0,1620723603.2
26,10.0,4.0,1620723603.2
27,11.0,1.0,1620723603.2
28,12.0,-2.0,1620723603.2
29,13.0,2.0,1620723603.2
30,14.0,-7.0,1620723603.2
31,16.0,-3.0,1620723603.2
32,17.0,-7.0,1620723603.2
33,18.0,-7.0,1620723603.2
34,2.0,4.0,1620723604.3
35,4.0,-2.0,1620723604.3
36,6.0,5.0,1620723604.3
37,10.0,5.0,1620723604.3
38,11.0,2.0,1620723604.3
39,12.0,-1.0,1620723604.3
40,13.0,3.0,1620723604.3
41,14.0,-6.0,1620723604.3
42,16.0,-3.0,1620723604.3
43,17.0,-6.0,1620723604.3
44,18.0,-7.0,1620723604.3
45,2.0,3.0,1620723605.3
46,4.0,-3.0,1620723605.3
47,6.0,4.0,1620723605.3
48,10.0,4.0,1620723605.3
49,11.0,2.0,1620723605.3
50,12.0,-1.0,1620723605.3
51,13.0,3.0,1620723605.3
52,14.0,-7.0,1620723605.3
53,16.0,-3.0,1620723605.3
54,17.0,-6.0,1620723605.3
55,18.0,-7.0,1620723605.3
56,2.0,3.0,1620723606.3
57,4.0,-2.0,1620723606.3
58,6.0,4.0,1620723606.3
59,10.0,4.0,1620723606.3
60,11.0,2.0,1620723606.3
61,12.0,-1.0,1620723606.3
62,13.0,3.0,1620723606.3
63,14.0,-7.0,1620723606.3
64,16.0,-3.0,1620723606.3
65,17.0,-6.0,1620723606.3
66,18.0,-7.0,1620723606.3
67,2.0,3.0,1620723607.3
68,4.0,-3.0,1620723607.3
69,6.0,4.0,1620723607.3
70,10.0,4.0,1620723607.3
71,11.0,1.0,1620723607.3
72,12.0,-2.0,1620723607.3
73,13.0,2.0,1620723607.3
74,14.0,-7.0,1620723607.3
75,16.0,-4.0,1620723607.3
76,17.0,-7.0,1620723607.3
77,18.0,-8.0,1620723607.3
78,2.0,3.0,1620723608.3
79,4.0,-3.0,1620723608.3
80,6.0,4.0,1620723608.3
81,10.0,4.0,1620723608.3
82,11.0,1.0,1620723608.3
83,12.0,-1.0,1620723608.3
84,13.0,2.0,1620723608.3
85,14.0,-7.0,1620723608.3
86,16.0,-3.0,1620723608.3
87,17.0,-7.0,1620723608.3
88,18.0,-7.0,1620723608.3
89,2.0,4.0,1620723609.3
90,4.0,-2.0,1620723609.3
91,6.0,5.0,1620723609.3
92,10.0,5.0,1620723609.3
93,11.0,2.0,1620723609.3
94,12.0,-1.0,1620723609.3
95,13.0,3.0,1620723609.3
96,14.0,-6.0,1620723609.3
97,16.0,-3.0,1620723609.3
98,17.0,-6.0,1620723609.3
99,18.0,-7.0,1620723609.3
100,2.0,3.0,1620723610.4
101,4.0,-3.0,1620723610.4
102,6.0,4.0,1620723610.4
103,10.0,4.0,1620723610.4
104,11.0,2.0,1620723610.4
105,12.0,-1.0,1620723610.4
106,13.0,3.0,1620723610.4
107,14.0,-7.0,1620723610.4
108,16.0,-3.0,1620723610.4
109,17.0,-6.0,1620723610.4
110,18.0,-7.0,1620723610.4
111,2.0,3.0,1620723611.4
112,4.0,-2.0,1620723611.4
113,6.0,4.0,1620723611.4
114,10.0,4.0,1620723611.4
115,11.0,2.0,1620723611.4
116,12.0,-1.0,1620723611.4
117,13.0,3.0,1620723611.4
118,14.0,-7.0,1620723611.4
119,16.0,-3.0,1620723611.4
120,17.0,-6.0,1620723611.4
121,18.0,-7.0,1620723611.4
122,2.0,3.0,1620723612.4
123,4.0,-3.0,1620723612.4
124,6.0,4.0,1620723612.4
125,10.0,4.0,1620723612.4
126,11.0,1.0,1620723612.4
127,12.0,-2.0,1620723612.4
128,13.0,2.0,1620723612.4
129,14.0,-7.0,1620723612.4
130,16.0,-4.0,1620723612.4
131,17.0,-7.0,1620723612.4
132,18.0,-8.0,1620723612.4
133,2.0,3.0,1620723613.4
134,4.0,-3.0,1620723613.4
135,6.0,4.0,1620723613.4
136,10.0,4.0,1620723613.4
137,11.0,2.0,1620723613.4
138,12.0,-1.0,1620723613.4
139,13.0,3.0,1620723613.4
140,14.0,-7.0,1620723613.4
141,16.0,-3.0,1620723613.4
142,17.0,-6.0,1620723613.4
143,18.0,-7.0,1620723613.4
144,2.0,4.0,1620723614.4
145,4.0,-2.0,1620723614.4
146,6.0,5.0,1620723614.4
147,10.0,5.0,1620723614.4
148,11.0,2.0,1620723614.4
149,12.0,-1.0,1620723614.4
150,13.0,3.0,1620723614.4
151,14.0,-6.0,1620723614.4
152,16.0,-3.0,1620723614.4
153,17.0,-6.0,1620723614.4
154,18.0,-7.0,1620723614.4
155,2.0,3.0,1620723615.4
156,4.0,-2.0,1620723615.4
157,6.0,4.0,1620723615.4
158,10.0,4.0,1620723615.4
159,11.0,2.0,1620723615.4
160,12.0,-1.0,1620723615.4
161,13.0,3.0,1620723615.4
162,14.0,-7.0,1620723615.4
163,16.0,-3.0,1620723615.4
164,17.0,-6.0,1620723615.4
165,18.0,-7.0,1620723615.4
166,2.0,3.0,1620723616.5
167,4.0,-3.0,1620723616.5
168,6.0,4.0,1620723616.5
169,10.0,4.0,1620723616.5
170,11.0,2.0,1620723616.5
171,12.0,-1.0,1620723616.5
172,13.0,2.0,1620723616.5
173,14.0,-7.0,1620723616.5
174,16.0,-3.0,1620723616.5
175,17.0,-7.0,1620723616.5
176,18.0,-7.0,1620723616.5
177,2.0,3.0,1620723617.5
178,4.0,-2.0,1620723617.5
179,6.0,4.0,1620723617.5
180,10.0,4.0,1620723617.5
181,11.0,2.0,1620723617.5
182,12.0,-1.0,1620723617.5
183,13.0,3.0,1620723617.5
184,14.0,-7.0,1620723617.5
185,16.0,-3.0,1620723617.5
186,17.0,-6.0,1620723617.5
187,18.0,-7.0,1620723617.5
188,2.0,3.0,1620723618.5
189,4.0,-2.0,1620723618.5
190,6.0,4.0,1620723618.5
191,10.0,4.0,1620723618.5
192,11.0,2.0,1620723618.5
193,12.0,-1.0,1620723618.5
