,DOM,delay,Time
1,2.0,4.0,1620981601.4
2,4.0,-2.0,1620981601.4
3,5.0,-5.0,1620981601.4
4,6.0,5.0,1620981601.4
5,7.0,2.0,1620981601.4
6,9.0,-4.0,1620981601.4
7,10.0,-11.0,1620981601.4
8,11.0,-2.0,1620981601.4
9,12.0,-4.0,1620981601.4
10,13.0,-13.0,1620981601.4
11,14.0,-16.0,1620981601.4
12,16.0,-19.0,1620981601.4
13,17.0,-10.0,1620981601.4
14,18.0,2.0,1620981601.4
15,2.0,3.0,1620981602.4
16,4.0,-3.0,1620981602.4
17,5.0,-5.0,1620981602.4
18,6.0,4.0,1620981602.4
19,7.0,1.0,1620981602.4
20,9.0,-5.0,1620981602.4
21,10.0,-12.0,1620981602.4
22,11.0,-2.0,1620981602.4
23,12.0,-5.0,1620981602.4
24,13.0,-14.0,1620981602.4
25,14.0,-17.0,1620981602.4
26,16.0,-20.0,1620981602.4
27,17.0,-10.0,1620981602.4
28,18.0,1.0,1620981602.4
29,2.0,3.0,1620981603.4
30,4.0,-3.0,1620981603.4
31,5.0,-5.0,1620981603.4
32,6.0,4.0,1620981603.4
33,7.0,1.0,1620981603.4
34,9.0,-5.0,1620981603.4
35,10.0,-12.0,1620981603.4
36,11.0,-2.0,1620981603.4
37,12.0,-5.0,1620981603.4
38,13.0,-14.0,1620981603.4
39,14.0,-17.0,1620981603.4
40,16.0,-20.0,1620981603.4
41,17.0,-10.0,1620981603.4
42,18.0,1.0,1620981603.4
43,2.0,3.0,1620981604.4
44,4.0,-2.0,1620981604.4
45,5.0,-5.0,1620981604.4
46,6.0,4.0,1620981604.4
47,7.0,2.0,1620981604.4
48,9.0,-4.0,1620981604.4
49,10.0,-12.0,1620981604.4
50,11.0,-2.0,1620981604.4
51,12.0,-5.0,1620981604.4
52,13.0,-14.0,1620981604.4
53,14.0,-17.0,1620981604.4
54,16.0,-19.0,1620981604.4
55,17.0,-10.0,1620981604.4
56,18.0,2.0,1620981604.4
57,2.0,3.0,1620981605.4
58,4.0,-3.0,1620981605.4
59,5.0,-5.0,1620981605.4
60,6.0,4.0,1620981605.4
61,7.0,1.0,1620981605.4
62,9.0,-5.0,1620981605.4
63,10.0,-12.0,1620981605.4
64,11.0,-2.0,1620981605.4
65,12.0,-5.0,1620981605.4
66,13.0,-14.0,1620981605.4
67,14.0,-17.0,1620981605.4
68,16.0,-20.0,1620981605.4
69,17.0,-10.0,1620981605.4
70,18.0,1.0,1620981605.4
71,2.0,3.0,1620981606.5
72,4.0,-2.0,1620981606.5
73,5.0,-5.0,1620981606.5
74,6.0,4.0,1620981606.5
75,7.0,2.0,1620981606.5
76,9.0,-4.0,1620981606.5
77,10.0,-12.0,1620981606.5
78,11.0,-2.0,1620981606.5
79,12.0,-5.0,1620981606.5
80,13.0,-14.0,1620981606.5
81,14.0,-17.0,1620981606.5
82,16.0,-19.0,1620981606.5
83,17.0,-10.0,1620981606.5
84,18.0,2.0,1620981606.5
85,2.0,3.0,1620981607.5
86,4.0,-3.0,1620981607.5
87,5.0,-6.0,1620981607.5
88,6.0,4.0,1620981607.5
89,7.0,1.0,1620981607.5
90,9.0,-5.0,1620981607.5
91,10.0,-12.0,1620981607.5
92,11.0,-3.0,1620981607.5
93,12.0,-5.0,1620981607.5
94,13.0,-14.0,1620981607.5
95,14.0,-17.0,1620981607.5
96,16.0,-20.0,1620981607.5
97,17.0,-11.0,1620981607.5
98,18.0,1.0,1620981607.5
99,2.0,3.0,1620981608.5
100,4.0,-3.0,1620981608.5
101,5.0,-5.0,1620981608.5
102,6.0,4.0,1620981608.5
103,7.0,1.0,1620981608.5
104,9.0,-5.0,1620981608.5
105,10.0,-12.0,1620981608.5
106,11.0,-2.0,1620981608.5
107,12.0,-5.0,1620981608.5
108,13.0,-14.0,1620981608.5
109,14.0,-17.0,1620981608.5
110,16.0,-20.0,1620981608.5
111,17.0,-10.0,1620981608.5
112,18.0,1.0,1620981608.5
113,2.0,3.0,1620981609.5
114,4.0,-2.0,1620981609.5
115,5.0,-5.0,1620981609.5
116,6.0,4.0,1620981609.5
117,7.0,2.0,1620981609.5
118,9.0,-4.0,1620981609.5
119,10.0,-12.0,1620981609.5
120,11.0,-2.0,1620981609.5
121,12.0,-5.0,1620981609.5
122,13.0,-14.0,1620981609.5
123,14.0,-17.0,1620981609.5
124,16.0,-19.0,1620981609.5
125,17.0,-10.0,1620981609.5
126,18.0,2.0,1620981609.5
