,DOM,delay,Time
1,2.0,3.0,1620622801.9
2,6.0,4.0,1620622801.9
3,11.0,-5.0,1620622801.9
4,12.0,4.0,1620622801.9
5,13.0,-4.0,1620622801.9
6,14.0,-1.0,1620622801.9
7,16.0,3.0,1620622801.9
8,18.0,-2.0,1620622801.9
9,2.0,4.0,1620622802.9
10,6.0,5.0,1620622802.9
11,11.0,-5.0,1620622802.9
12,12.0,5.0,1620622802.9
13,13.0,-3.0,1620622802.9
14,14.0,0.0,1620622802.9
15,16.0,3.0,1620622802.9
16,18.0,-1.0,1620622802.9
17,2.0,3.0,1620622803.9
18,6.0,4.0,1620622803.9
19,11.0,-5.0,1620622803.9
20,12.0,5.0,1620622803.9
21,13.0,-4.0,1620622803.9
22,14.0,-1.0,1620622803.9
23,16.0,3.0,1620622803.9
24,18.0,-1.0,1620622803.9
25,2.0,3.0,1620622804.9
26,6.0,4.0,1620622804.9
27,11.0,-5.0,1620622804.9
28,12.0,5.0,1620622804.9
29,13.0,-4.0,1620622804.9
30,14.0,-1.0,1620622804.9
31,16.0,3.0,1620622804.9
32,18.0,-1.0,1620622804.9
33,2.0,3.0,1620622806.0
34,6.0,4.0,1620622806.0
35,11.0,-5.0,1620622806.0
36,12.0,5.0,1620622806.0
37,13.0,-4.0,1620622806.0
38,14.0,-1.0,1620622806.0
39,16.0,3.0,1620622806.0
40,18.0,-1.0,1620622806.0
41,2.0,3.0,1620622807.0
42,6.0,4.0,1620622807.0
43,11.0,-5.0,1620622807.0
44,12.0,5.0,1620622807.0
45,13.0,-4.0,1620622807.0
46,14.0,-1.0,1620622807.0
47,16.0,3.0,1620622807.0
48,18.0,-1.0,1620622807.0
49,2.0,3.0,1620622808.0
50,6.0,4.0,1620622808.0
51,11.0,-5.0,1620622808.0
52,12.0,5.0,1620622808.0
53,13.0,-4.0,1620622808.0
54,14.0,-1.0,1620622808.0
55,16.0,3.0,1620622808.0
56,18.0,-1.0,1620622808.0
57,2.0,3.0,1620622809.0
58,6.0,4.0,1620622809.0
59,11.0,-5.0,1620622809.0
60,12.0,5.0,1620622809.0
61,13.0,-4.0,1620622809.0
62,14.0,-1.0,1620622809.0
63,16.0,3.0,1620622809.0
64,18.0,-1.0,1620622809.0
65,2.0,3.0,1620622810.0
66,6.0,4.0,1620622810.0
67,11.0,-5.0,1620622810.0
68,12.0,5.0,1620622810.0
69,13.0,-4.0,1620622810.0
70,14.0,-1.0,1620622810.0
71,16.0,3.0,1620622810.0
72,18.0,-1.0,1620622810.0
73,2.0,3.0,1620622811.0
74,6.0,4.0,1620622811.0
75,11.0,-5.0,1620622811.0
76,12.0,5.0,1620622811.0
77,13.0,-4.0,1620622811.0
78,14.0,-1.0,1620622811.0
79,16.0,3.0,1620622811.0
80,18.0,-1.0,1620622811.0
81,2.0,3.0,1620622812.1
82,6.0,4.0,1620622812.1
83,11.0,-5.0,1620622812.1
84,12.0,5.0,1620622812.1
85,13.0,-4.0,1620622812.1
86,14.0,-1.0,1620622812.1
87,16.0,3.0,1620622812.1
88,18.0,-1.0,1620622812.1
89,2.0,4.0,1620622813.1
90,6.0,4.0,1620622813.1
91,11.0,-5.0,1620622813.1
92,12.0,5.0,1620622813.1
93,13.0,-3.0,1620622813.1
94,14.0,-1.0,1620622813.1
95,16.0,3.0,1620622813.1
96,18.0,-1.0,1620622813.1
97,2.0,4.0,1620622814.1
98,6.0,4.0,1620622814.1
99,11.0,-5.0,1620622814.1
100,12.0,5.0,1620622814.1
101,13.0,-3.0,1620622814.1
102,14.0,0.0,1620622814.1
103,16.0,3.0,1620622814.1
104,18.0,-1.0,1620622814.1
105,2.0,3.0,1620622815.1
106,6.0,4.0,1620622815.1
107,11.0,-5.0,1620622815.1
