,DOM,delay,Time
1,2.0,4.0,1621533601.6
2,4.0,-2.0,1621533601.6
3,5.0,-5.0,1621533601.6
4,6.0,5.0,1621533601.6
5,7.0,2.0,1621533601.6
6,8.0,-1.0,1621533601.6
7,9.0,-4.0,1621533601.6
8,10.0,1.0,1621533601.6
9,11.0,-1.0,1621533601.6
10,12.0,-4.0,1621533601.6
11,13.0,0.0,1621533601.6
12,16.0,-6.0,1621533601.6
13,17.0,3.0,1621533601.6
14,18.0,3.0,1621533601.6
15,2.0,4.0,1621533602.6
16,4.0,-2.0,1621533602.6
17,5.0,-5.0,1621533602.6
18,6.0,5.0,1621533602.6
19,7.0,2.0,1621533602.6
20,8.0,-1.0,1621533602.6
21,9.0,-4.0,1621533602.6
22,10.0,1.0,1621533602.6
23,11.0,-1.0,1621533602.6
24,12.0,-4.0,1621533602.6
25,13.0,0.0,1621533602.6
26,16.0,-6.0,1621533602.6
27,17.0,3.0,1621533602.6
28,18.0,2.0,1621533602.6
29,2.0,4.0,1621533603.6
30,4.0,-2.0,1621533603.6
31,5.0,-5.0,1621533603.6
32,6.0,4.0,1621533603.6
33,7.0,2.0,1621533603.6
34,8.0,-1.0,1621533603.6
35,9.0,-4.0,1621533603.6
36,10.0,1.0,1621533603.6
37,11.0,-2.0,1621533603.6
38,12.0,-4.0,1621533603.6
39,13.0,0.0,1621533603.6
40,16.0,-6.0,1621533603.6
41,17.0,3.0,1621533603.6
42,18.0,2.0,1621533603.6
43,2.0,3.0,1621533604.6
44,4.0,-2.0,1621533604.6
45,5.0,-5.0,1621533604.6
46,6.0,4.0,1621533604.6
47,7.0,2.0,1621533604.6
48,8.0,-1.0,1621533604.6
49,9.0,-4.0,1621533604.6
50,10.0,1.0,1621533604.6
51,11.0,-2.0,1621533604.6
52,12.0,-4.0,1621533604.6
53,13.0,0.0,1621533604.6
54,16.0,-6.0,1621533604.6
55,17.0,3.0,1621533604.6
56,18.0,2.0,1621533604.6
57,2.0,3.0,1621533605.6
58,4.0,-3.0,1621533605.6
59,5.0,-5.0,1621533605.6
60,6.0,4.0,1621533605.6
61,7.0,1.0,1621533605.6
62,8.0,-1.0,1621533605.6
63,9.0,-4.0,1621533605.6
64,10.0,0.0,1621533605.6
65,11.0,-2.0,1621533605.6
66,12.0,-5.0,1621533605.6
67,13.0,-1.0,1621533605.6
68,16.0,-7.0,1621533605.6
69,17.0,3.0,1621533605.6
70,18.0,2.0,1621533605.6
71,2.0,3.0,1621533606.6
72,4.0,-3.0,1621533606.6
73,5.0,-5.0,1621533606.6
74,6.0,4.0,1621533606.6
75,7.0,1.0,1621533606.6
76,8.0,-1.0,1621533606.6
77,9.0,-4.0,1621533606.6
78,10.0,1.0,1621533606.6
79,11.0,-2.0,1621533606.6
80,12.0,-5.0,1621533606.6
81,13.0,-1.0,1621533606.6
82,16.0,-7.0,1621533606.6
83,17.0,3.0,1621533606.6
84,18.0,2.0,1621533606.6
85,2.0,3.0,1621533607.7
86,4.0,-3.0,1621533607.7
87,5.0,-5.0,1621533607.7
88,6.0,4.0,1621533607.7
89,7.0,1.0,1621533607.7
90,8.0,-2.0,1621533607.7
91,9.0,-5.0,1621533607.7
92,10.0,0.0,1621533607.7
93,11.0,-2.0,1621533607.7
94,12.0,-5.0,1621533607.7
95,13.0,-1.0,1621533607.7
96,16.0,-7.0,1621533607.7
97,17.0,2.0,1621533607.7
98,18.0,2.0,1621533607.7
