,DOM,delay,Time
1,2.0,4.0,1621987201.4
2,4.0,-2.0,1621987201.4
3,6.0,4.0,1621987201.4
4,7.0,2.0,1621987201.4
5,8.0,-1.0,1621987201.4
6,9.0,-4.0,1621987201.4
7,10.0,1.0,1621987201.4
8,11.0,-2.0,1621987201.4
9,12.0,-4.0,1621987201.4
10,14.0,4.0,1621987201.4
11,16.0,1.0,1621987201.4
12,17.0,-2.0,1621987201.4
13,18.0,-3.0,1621987201.4
14,2.0,3.0,1621987202.5
15,4.0,-3.0,1621987202.5
16,6.0,4.0,1621987202.5
17,7.0,1.0,1621987202.5
18,8.0,-2.0,1621987202.5
19,9.0,-5.0,1621987202.5
20,10.0,0.0,1621987202.5
21,11.0,-2.0,1621987202.5
22,12.0,-5.0,1621987202.5
23,14.0,3.0,1621987202.5
24,16.0,0.0,1621987202.5
25,17.0,-3.0,1621987202.5
26,18.0,-4.0,1621987202.5
27,2.0,4.0,1621987203.5
28,4.0,-2.0,1621987203.5
29,6.0,4.0,1621987203.5
30,7.0,2.0,1621987203.5
31,8.0,-1.0,1621987203.5
32,9.0,-4.0,1621987203.5
33,10.0,1.0,1621987203.5
34,11.0,-2.0,1621987203.5
35,12.0,-4.0,1621987203.5
36,14.0,4.0,1621987203.5
37,16.0,1.0,1621987203.5
38,17.0,-2.0,1621987203.5
39,18.0,-3.0,1621987203.5
40,2.0,4.0,1621987204.5
41,4.0,-2.0,1621987204.5
42,6.0,4.0,1621987204.5
43,7.0,2.0,1621987204.5
44,8.0,-1.0,1621987204.5
45,9.0,-4.0,1621987204.5
46,10.0,1.0,1621987204.5
47,11.0,-2.0,1621987204.5
48,12.0,-4.0,1621987204.5
49,14.0,4.0,1621987204.5
50,16.0,1.0,1621987204.5
51,17.0,-2.0,1621987204.5
52,18.0,-3.0,1621987204.5
53,2.0,4.0,1621987205.5
54,4.0,-2.0,1621987205.5
55,6.0,4.0,1621987205.5
56,7.0,2.0,1621987205.5
57,8.0,-1.0,1621987205.5
58,9.0,-4.0,1621987205.5
59,10.0,1.0,1621987205.5
60,11.0,-2.0,1621987205.5
61,12.0,-5.0,1621987205.5
62,14.0,4.0,1621987205.5
63,16.0,1.0,1621987205.5
