,DOM,delay,Time
1,2.0,3.0,1620663524.2
2,4.0,-3.0,1620663524.2
3,6.0,4.0,1620663524.2
4,10.0,4.0,1620663524.2
5,11.0,2.0,1620663524.2
6,12.0,-1.0,1620663524.2
7,13.0,3.0,1620663524.2
8,14.0,-7.0,1620663524.2
9,16.0,-3.0,1620663524.2
10,17.0,-6.0,1620663524.2
11,18.0,-7.0,1620663524.2
12,2.0,3.0,1620663525.2
13,4.0,-3.0,1620663525.2
14,6.0,4.0,1620663525.2
15,10.0,4.0,1620663525.2
16,11.0,2.0,1620663525.2
17,12.0,-1.0,1620663525.2
18,13.0,3.0,1620663525.2
19,14.0,-7.0,1620663525.2
20,16.0,-3.0,1620663525.2
21,17.0,-6.0,1620663525.2
22,18.0,-7.0,1620663525.2
23,2.0,3.0,1620663526.2
24,4.0,-2.0,1620663526.2
25,6.0,4.0,1620663526.2
26,10.0,4.0,1620663526.2
27,11.0,2.0,1620663526.2
28,12.0,-1.0,1620663526.2
29,13.0,3.0,1620663526.2
30,14.0,-6.0,1620663526.2
31,16.0,-3.0,1620663526.2
32,17.0,-6.0,1620663526.2
33,18.0,-7.0,1620663526.2
34,2.0,3.0,1620663527.3
35,4.0,-3.0,1620663527.3
36,6.0,4.0,1620663527.3
37,10.0,4.0,1620663527.3
38,11.0,2.0,1620663527.3
39,12.0,-1.0,1620663527.3
40,13.0,3.0,1620663527.3
41,14.0,-7.0,1620663527.3
42,16.0,-3.0,1620663527.3
43,17.0,-6.0,1620663527.3
44,18.0,-7.0,1620663527.3
45,2.0,3.0,1620663528.3
46,4.0,-2.0,1620663528.3
47,6.0,4.0,1620663528.3
48,10.0,4.0,1620663528.3
49,11.0,2.0,1620663528.3
50,12.0,-1.0,1620663528.3
51,13.0,3.0,1620663528.3
52,14.0,-7.0,1620663528.3
53,16.0,-3.0,1620663528.3
54,17.0,-6.0,1620663528.3
55,18.0,-7.0,1620663528.3
56,2.0,3.0,1620663529.3
57,4.0,-2.0,1620663529.3
58,6.0,5.0,1620663529.3
59,10.0,5.0,1620663529.3
60,11.0,2.0,1620663529.3
61,12.0,-1.0,1620663529.3
62,13.0,3.0,1620663529.3
63,14.0,-6.0,1620663529.3
64,16.0,-2.0,1620663529.3
65,17.0,-6.0,1620663529.3
66,18.0,-6.0,1620663529.3
67,2.0,3.0,1620663530.3
68,4.0,-2.0,1620663530.3
69,6.0,4.0,1620663530.3
70,10.0,4.0,1620663530.3
71,11.0,2.0,1620663530.3
72,12.0,-1.0,1620663530.3
73,13.0,3.0,1620663530.3
74,14.0,-6.0,1620663530.3
75,16.0,-3.0,1620663530.3
76,17.0,-6.0,1620663530.3
77,18.0,-7.0,1620663530.3
78,2.0,4.0,1620663531.3
79,4.0,-2.0,1620663531.3
80,6.0,5.0,1620663531.3
81,10.0,5.0,1620663531.3
82,11.0,2.0,1620663531.3
83,12.0,0.0,1620663531.3
84,13.0,3.0,1620663531.3
85,14.0,-6.0,1620663531.3
86,16.0,-2.0,1620663531.3
87,17.0,-5.0,1620663531.3
88,18.0,-6.0,1620663531.3
89,2.0,3.0,1620663532.3
90,4.0,-3.0,1620663532.3
91,6.0,4.0,1620663532.3
92,10.0,4.0,1620663532.3
93,11.0,2.0,1620663532.3
94,12.0,-1.0,1620663532.3
95,13.0,3.0,1620663532.3
96,14.0,-7.0,1620663532.3
97,16.0,-3.0,1620663532.3
98,17.0,-6.0,1620663532.3
99,18.0,-7.0,1620663532.3
100,2.0,3.0,1620663533.4
101,4.0,-3.0,1620663533.4
102,6.0,4.0,1620663533.4
103,10.0,4.0,1620663533.4
104,11.0,1.0,1620663533.4
105,12.0,-1.0,1620663533.4
106,13.0,2.0,1620663533.4
107,14.0,-7.0,1620663533.4
108,16.0,-3.0,1620663533.4
