,DOM,delay,Time
1,2.0,3.0,1621005362.1
2,4.0,-2.0,1621005362.1
3,5.0,-5.0,1621005362.1
4,6.0,4.0,1621005362.1
5,7.0,2.0,1621005362.1
6,9.0,-4.0,1621005362.1
7,10.0,0.0,1621005362.1
8,11.0,-2.0,1621005362.1
9,12.0,-5.0,1621005362.1
10,13.0,-1.0,1621005362.1
11,14.0,-4.0,1621005362.1
12,16.0,-7.0,1621005362.1
13,17.0,2.0,1621005362.1
14,18.0,2.0,1621005362.1
15,2.0,3.0,1621005363.1
16,4.0,-3.0,1621005363.1
17,5.0,-5.0,1621005363.1
18,6.0,4.0,1621005363.1
19,7.0,1.0,1621005363.1
20,9.0,-5.0,1621005363.1
21,10.0,0.0,1621005363.1
22,11.0,-2.0,1621005363.1
23,12.0,-5.0,1621005363.1
24,13.0,-1.0,1621005363.1
25,14.0,-4.0,1621005363.1
26,16.0,-7.0,1621005363.1
27,17.0,2.0,1621005363.1
28,18.0,1.0,1621005363.1
29,2.0,4.0,1621005364.1
30,4.0,-2.0,1621005364.1
31,5.0,-5.0,1621005364.1
32,6.0,5.0,1621005364.1
33,7.0,2.0,1621005364.1
34,9.0,-4.0,1621005364.1
35,10.0,1.0,1621005364.1
36,11.0,-2.0,1621005364.1
37,12.0,-5.0,1621005364.1
38,13.0,-1.0,1621005364.1
39,14.0,-4.0,1621005364.1
40,16.0,-6.0,1621005364.1
41,17.0,3.0,1621005364.1
42,18.0,2.0,1621005364.1
43,2.0,3.0,1621005365.1
44,4.0,-3.0,1621005365.1
45,5.0,-6.0,1621005365.1
46,6.0,4.0,1621005365.1
47,7.0,1.0,1621005365.1
48,9.0,-5.0,1621005365.1
49,10.0,0.0,1621005365.1
50,11.0,-3.0,1621005365.1
51,12.0,-5.0,1621005365.1
52,13.0,-1.0,1621005365.1
53,14.0,-5.0,1621005365.1
54,16.0,-7.0,1621005365.1
55,17.0,2.0,1621005365.1
56,18.0,1.0,1621005365.1
57,2.0,3.0,1621005366.1
58,4.0,-3.0,1621005366.1
59,5.0,-6.0,1621005366.1
60,6.0,4.0,1621005366.1
61,7.0,1.0,1621005366.1
62,9.0,-5.0,1621005366.1
63,10.0,0.0,1621005366.1
64,11.0,-2.0,1621005366.1
65,12.0,-5.0,1621005366.1
66,13.0,-1.0,1621005366.1
67,14.0,-4.0,1621005366.1
68,16.0,-7.0,1621005366.1
69,17.0,2.0,1621005366.1
70,18.0,1.0,1621005366.1
71,2.0,3.0,1621005367.2
72,4.0,-2.0,1621005367.2
73,5.0,-5.0,1621005367.2
74,6.0,4.0,1621005367.2
75,7.0,1.0,1621005367.2
76,9.0,-4.0,1621005367.2
77,10.0,0.0,1621005367.2
78,11.0,-2.0,1621005367.2
79,12.0,-5.0,1621005367.2
80,13.0,-1.0,1621005367.2
81,14.0,-4.0,1621005367.2
