,DOM,delay,Time
1,2.0,3.0,1620604801.9
2,6.0,4.0,1620604801.9
3,11.0,-5.0,1620604801.9
4,12.0,5.0,1620604801.9
5,13.0,-4.0,1620604801.9
6,14.0,-1.0,1620604801.9
7,16.0,3.0,1620604801.9
8,18.0,-1.0,1620604801.9
9,2.0,4.0,1620604802.9
10,6.0,4.0,1620604802.9
11,11.0,-5.0,1620604802.9
12,12.0,5.0,1620604802.9
13,13.0,-3.0,1620604802.9
14,14.0,0.0,1620604802.9
15,16.0,3.0,1620604802.9
16,18.0,-1.0,1620604802.9
17,2.0,3.0,1620604803.9
18,6.0,4.0,1620604803.9
19,11.0,-5.0,1620604803.9
20,12.0,5.0,1620604803.9
21,13.0,-4.0,1620604803.9
22,14.0,-1.0,1620604803.9
23,16.0,3.0,1620604803.9
24,18.0,-1.0,1620604803.9
25,2.0,3.0,1620604804.9
26,6.0,4.0,1620604804.9
27,11.0,-5.0,1620604804.9
28,12.0,5.0,1620604804.9
29,13.0,-4.0,1620604804.9
30,14.0,-1.0,1620604804.9
31,16.0,3.0,1620604804.9
32,18.0,-1.0,1620604804.9
33,2.0,4.0,1620604805.9
34,6.0,4.0,1620604805.9
35,11.0,-5.0,1620604805.9
36,12.0,5.0,1620604805.9
37,13.0,-3.0,1620604805.9
38,14.0,0.0,1620604805.9
39,16.0,3.0,1620604805.9
40,18.0,-1.0,1620604805.9
41,2.0,4.0,1620604807.0
42,6.0,5.0,1620604807.0
43,11.0,-4.0,1620604807.0
44,12.0,5.0,1620604807.0
45,13.0,-3.0,1620604807.0
46,14.0,0.0,1620604807.0
47,16.0,3.0,1620604807.0
48,18.0,-1.0,1620604807.0
49,2.0,4.0,1620604808.0
50,6.0,4.0,1620604808.0
51,11.0,-5.0,1620604808.0
52,12.0,5.0,1620604808.0
53,13.0,-3.0,1620604808.0
54,14.0,0.0,1620604808.0
55,16.0,3.0,1620604808.0
56,18.0,-1.0,1620604808.0
57,2.0,3.0,1620604809.0
58,6.0,4.0,1620604809.0
59,11.0,-5.0,1620604809.0
60,12.0,5.0,1620604809.0
61,13.0,-4.0,1620604809.0
62,14.0,-1.0,1620604809.0
63,16.0,3.0,1620604809.0
64,18.0,-1.0,1620604809.0
65,2.0,3.0,1620604810.0
66,6.0,4.0,1620604810.0
67,11.0,-5.0,1620604810.0
68,12.0,5.0,1620604810.0
69,13.0,-3.0,1620604810.0
70,14.0,-1.0,1620604810.0
71,16.0,3.0,1620604810.0
72,18.0,-1.0,1620604810.0
73,2.0,3.0,1620604811.0
74,6.0,4.0,1620604811.0
75,11.0,-5.0,1620604811.0
76,12.0,5.0,1620604811.0
77,13.0,-4.0,1620604811.0
78,14.0,-1.0,1620604811.0
79,16.0,3.0,1620604811.0
80,18.0,-1.0,1620604811.0
81,2.0,3.0,1620604812.0
82,6.0,4.0,1620604812.0
83,11.0,-5.0,1620604812.0
84,12.0,5.0,1620604812.0
85,13.0,-3.0,1620604812.0
86,14.0,-1.0,1620604812.0
87,16.0,3.0,1620604812.0
88,18.0,-1.0,1620604812.0
89,2.0,3.0,1620604813.1
90,6.0,4.0,1620604813.1
91,11.0,-5.0,1620604813.1
92,12.0,5.0,1620604813.1
93,13.0,-4.0,1620604813.1
94,14.0,-1.0,1620604813.1
95,16.0,3.0,1620604813.1
96,18.0,-1.0,1620604813.1
97,2.0,4.0,1620604814.1
98,6.0,5.0,1620604814.1
99,11.0,-4.0,1620604814.1
100,12.0,5.0,1620604814.1
101,13.0,-3.0,1620604814.1
102,14.0,0.0,1620604814.1
103,16.0,3.0,1620604814.1
104,18.0,-1.0,1620604814.1
105,2.0,3.0,1620604815.1
106,6.0,4.0,1620604815.1
107,11.0,-5.0,1620604815.1
108,12.0,5.0,1620604815.1
109,13.0,-4.0,1620604815.1
110,14.0,-1.0,1620604815.1
111,16.0,3.0,1620604815.1
112,18.0,-1.0,1620604815.1
113,2.0,4.0,1620604816.1
114,6.0,4.0,1620604816.1
115,11.0,-5.0,1620604816.1
116,12.0,5.0,1620604816.1
117,13.0,-3.0,1620604816.1
118,14.0,0.0,1620604816.1
119,16.0,3.0,1620604816.1
120,18.0,-1.0,1620604816.1
121,2.0,4.0,1620604817.1
122,6.0,4.0,1620604817.1
123,11.0,-5.0,1620604817.1
124,12.0,5.0,1620604817.1
125,13.0,-3.0,1620604817.1
126,14.0,0.0,1620604817.1
127,16.0,3.0,1620604817.1
128,18.0,-1.0,1620604817.1
129,2.0,3.0,1620604818.1
130,6.0,4.0,1620604818.1
131,11.0,-5.0,1620604818.1
132,12.0,5.0,1620604818.1
133,13.0,-4.0,1620604818.1
134,14.0,-1.0,1620604818.1
135,16.0,3.0,1620604818.1
136,18.0,-1.0,1620604818.1
137,2.0,4.0,1620604819.2
138,6.0,4.0,1620604819.2
139,11.0,-4.0,1620604819.2
140,12.0,5.0,1620604819.2
141,13.0,-3.0,1620604819.2
142,14.0,0.0,1620604819.2
143,16.0,3.0,1620604819.2
144,18.0,-1.0,1620604819.2
145,2.0,3.0,1620604820.2
146,6.0,4.0,1620604820.2
147,11.0,-5.0,1620604820.2
148,12.0,5.0,1620604820.2
149,13.0,-4.0,1620604820.2
150,14.0,-1.0,1620604820.2
151,16.0,3.0,1620604820.2
152,18.0,-1.0,1620604820.2
153,2.0,3.0,1620604821.2
154,6.0,4.0,1620604821.2
155,11.0,-5.0,1620604821.2
