,DOM,delay,Time
1,2.0,4.0,1621566001.4
2,4.0,-2.0,1621566001.4
3,5.0,-5.0,1621566001.4
4,6.0,5.0,1621566001.4
5,7.0,2.0,1621566001.4
6,8.0,-1.0,1621566001.4
7,9.0,-4.0,1621566001.4
8,10.0,1.0,1621566001.4
9,11.0,-1.0,1621566001.4
10,12.0,-4.0,1621566001.4
11,13.0,0.0,1621566001.4
12,16.0,-6.0,1621566001.4
13,17.0,3.0,1621566001.4
14,18.0,3.0,1621566001.4
15,2.0,4.0,1621566002.4
16,4.0,-2.0,1621566002.4
17,5.0,-5.0,1621566002.4
18,6.0,5.0,1621566002.4
19,7.0,2.0,1621566002.4
20,8.0,-1.0,1621566002.4
21,9.0,-4.0,1621566002.4
22,10.0,1.0,1621566002.4
23,11.0,-2.0,1621566002.4
24,12.0,-4.0,1621566002.4
25,13.0,0.0,1621566002.4
26,16.0,-6.0,1621566002.4
27,17.0,3.0,1621566002.4
28,18.0,2.0,1621566002.4
29,2.0,3.0,1621566003.4
30,4.0,-3.0,1621566003.4
31,5.0,-5.0,1621566003.4
32,6.0,4.0,1621566003.4
33,7.0,2.0,1621566003.4
34,8.0,-1.0,1621566003.4
35,9.0,-4.0,1621566003.4
36,10.0,1.0,1621566003.4
37,11.0,-2.0,1621566003.4
38,12.0,-5.0,1621566003.4
39,13.0,-1.0,1621566003.4
40,16.0,-7.0,1621566003.4
41,17.0,3.0,1621566003.4
42,18.0,2.0,1621566003.4
43,2.0,4.0,1621566004.4
44,4.0,-2.0,1621566004.4
45,5.0,-5.0,1621566004.4
46,6.0,5.0,1621566004.4
47,7.0,2.0,1621566004.4
48,8.0,-1.0,1621566004.4
49,9.0,-4.0,1621566004.4
50,10.0,1.0,1621566004.4
51,11.0,-1.0,1621566004.4
52,12.0,-4.0,1621566004.4
53,13.0,0.0,1621566004.4
54,16.0,-6.0,1621566004.4
55,17.0,3.0,1621566004.4
56,18.0,2.0,1621566004.4
57,2.0,4.0,1621566005.5
58,4.0,-2.0,1621566005.5
59,5.0,-5.0,1621566005.5
60,6.0,5.0,1621566005.5
61,7.0,2.0,1621566005.5
62,8.0,-1.0,1621566005.5
63,9.0,-4.0,1621566005.5
64,10.0,1.0,1621566005.5
65,11.0,-1.0,1621566005.5
66,12.0,-4.0,1621566005.5
67,13.0,0.0,1621566005.5
68,16.0,-6.0,1621566005.5
69,17.0,3.0,1621566005.5
70,18.0,2.0,1621566005.5
71,2.0,4.0,1621566006.5
72,4.0,-2.0,1621566006.5
73,5.0,-5.0,1621566006.5
74,6.0,5.0,1621566006.5
75,7.0,2.0,1621566006.5
76,8.0,-1.0,1621566006.5
77,9.0,-4.0,1621566006.5
78,10.0,1.0,1621566006.5
79,11.0,-2.0,1621566006.5
80,12.0,-4.0,1621566006.5
81,13.0,0.0,1621566006.5
82,16.0,-6.0,1621566006.5
83,17.0,3.0,1621566006.5
84,18.0,2.0,1621566006.5
85,2.0,3.0,1621566007.5
86,4.0,-3.0,1621566007.5
87,5.0,-5.0,1621566007.5
88,6.0,4.0,1621566007.5
89,7.0,2.0,1621566007.5
90,8.0,-1.0,1621566007.5
91,9.0,-4.0,1621566007.5
92,10.0,1.0,1621566007.5
93,11.0,-2.0,1621566007.5
94,12.0,-4.0,1621566007.5
95,13.0,-1.0,1621566007.5
96,16.0,-6.0,1621566007.5
97,17.0,3.0,1621566007.5
