,DOM,delay,Time
1,2.0,3.0,1620702001.0
2,4.0,-2.0,1620702001.0
3,6.0,4.0,1620702001.0
4,10.0,4.0,1620702001.0
5,11.0,2.0,1620702001.0
6,12.0,-1.0,1620702001.0
7,13.0,3.0,1620702001.0
8,14.0,-7.0,1620702001.0
9,16.0,-3.0,1620702001.0
10,17.0,-6.0,1620702001.0
11,18.0,-7.0,1620702001.0
12,2.0,3.0,1620702002.0
13,4.0,-2.0,1620702002.0
14,6.0,4.0,1620702002.0
15,10.0,4.0,1620702002.0
16,11.0,2.0,1620702002.0
17,12.0,-1.0,1620702002.0
18,13.0,3.0,1620702002.0
19,14.0,-7.0,1620702002.0
20,16.0,-3.0,1620702002.0
21,17.0,-6.0,1620702002.0
22,18.0,-7.0,1620702002.0
23,2.0,4.0,1620702003.0
24,4.0,-2.0,1620702003.0
25,6.0,5.0,1620702003.0
26,10.0,4.0,1620702003.0
27,11.0,2.0,1620702003.0
28,12.0,-1.0,1620702003.0
29,13.0,3.0,1620702003.0
30,14.0,-7.0,1620702003.0
31,16.0,-3.0,1620702003.0
32,17.0,-6.0,1620702003.0
33,18.0,-7.0,1620702003.0
34,2.0,3.0,1620702004.0
35,4.0,-2.0,1620702004.0
36,6.0,4.0,1620702004.0
37,10.0,4.0,1620702004.0
38,11.0,2.0,1620702004.0
39,12.0,-1.0,1620702004.0
40,13.0,3.0,1620702004.0
41,14.0,-7.0,1620702004.0
42,16.0,-3.0,1620702004.0
43,17.0,-6.0,1620702004.0
44,18.0,-7.0,1620702004.0
45,2.0,3.0,1620702005.0
46,4.0,-3.0,1620702005.0
47,6.0,4.0,1620702005.0
48,10.0,4.0,1620702005.0
49,11.0,1.0,1620702005.0
50,12.0,-1.0,1620702005.0
51,13.0,3.0,1620702005.0
52,14.0,-7.0,1620702005.0
53,16.0,-3.0,1620702005.0
54,17.0,-6.0,1620702005.0
55,18.0,-7.0,1620702005.0
56,2.0,3.0,1620702006.1
57,4.0,-2.0,1620702006.1
58,6.0,4.0,1620702006.1
59,10.0,4.0,1620702006.1
60,11.0,2.0,1620702006.1
61,12.0,-1.0,1620702006.1
62,13.0,3.0,1620702006.1
63,14.0,-7.0,1620702006.1
64,16.0,-3.0,1620702006.1
65,17.0,-6.0,1620702006.1
66,18.0,-7.0,1620702006.1
67,2.0,3.0,1620702007.1
68,4.0,-2.0,1620702007.1
69,6.0,5.0,1620702007.1
70,10.0,4.0,1620702007.1
71,11.0,2.0,1620702007.1
72,12.0,-1.0,1620702007.1
73,13.0,3.0,1620702007.1
74,14.0,-6.0,1620702007.1
75,16.0,-3.0,1620702007.1
76,17.0,-6.0,1620702007.1
77,18.0,-7.0,1620702007.1
78,2.0,3.0,1620702008.1
79,4.0,-3.0,1620702008.1
80,6.0,4.0,1620702008.1
81,10.0,4.0,1620702008.1
82,11.0,1.0,1620702008.1
83,12.0,-1.0,1620702008.1
84,13.0,2.0,1620702008.1
85,14.0,-7.0,1620702008.1
86,16.0,-3.0,1620702008.1
87,17.0,-7.0,1620702008.1
88,18.0,-7.0,1620702008.1
89,2.0,3.0,1620702009.1
90,4.0,-3.0,1620702009.1
91,6.0,4.0,1620702009.1
92,10.0,4.0,1620702009.1
93,11.0,1.0,1620702009.1
94,12.0,-2.0,1620702009.1
95,13.0,2.0,1620702009.1
96,14.0,-7.0,1620702009.1
97,16.0,-4.0,1620702009.1
98,17.0,-7.0,1620702009.1
99,18.0,-8.0,1620702009.1
100,2.0,3.0,1620702010.1
101,4.0,-3.0,1620702010.1
102,6.0,4.0,1620702010.1
103,10.0,4.0,1620702010.1
104,11.0,1.0,1620702010.1
105,12.0,-2.0,1620702010.1
106,13.0,2.0,1620702010.1
107,14.0,-7.0,1620702010.1
108,16.0,-3.0,1620702010.1
109,17.0,-7.0,1620702010.1
110,18.0,-8.0,1620702010.1
111,2.0,3.0,1620702011.1
112,4.0,-2.0,1620702011.1
113,6.0,4.0,1620702011.1
114,10.0,4.0,1620702011.1
115,11.0,2.0,1620702011.1
116,12.0,-1.0,1620702011.1
117,13.0,3.0,1620702011.1
118,14.0,-7.0,1620702011.1
119,16.0,-3.0,1620702011.1
120,17.0,-6.0,1620702011.1
121,18.0,-7.0,1620702011.1
122,2.0,3.0,1620702012.2
123,4.0,-3.0,1620702012.2
124,6.0,4.0,1620702012.2
125,10.0,4.0,1620702012.2
126,11.0,1.0,1620702012.2
127,12.0,-1.0,1620702012.2
128,13.0,2.0,1620702012.2
129,14.0,-7.0,1620702012.2
130,16.0,-3.0,1620702012.2
131,17.0,-7.0,1620702012.2
132,18.0,-7.0,1620702012.2
133,2.0,3.0,1620702013.2
134,4.0,-2.0,1620702013.2
135,6.0,4.0,1620702013.2
136,10.0,4.0,1620702013.2
137,11.0,2.0,1620702013.2
138,12.0,-1.0,1620702013.2
139,13.0,3.0,1620702013.2
140,14.0,-7.0,1620702013.2
141,16.0,-3.0,1620702013.2
142,17.0,-6.0,1620702013.2
143,18.0,-7.0,1620702013.2
144,2.0,3.0,1620702014.2
145,4.0,-3.0,1620702014.2
146,6.0,4.0,1620702014.2
147,10.0,4.0,1620702014.2
148,11.0,1.0,1620702014.2
149,12.0,-1.0,1620702014.2
150,13.0,2.0,1620702014.2
151,14.0,-7.0,1620702014.2
152,16.0,-3.0,1620702014.2
153,17.0,-7.0,1620702014.2
154,18.0,-7.0,1620702014.2
155,2.0,3.0,1620702015.2
156,4.0,-3.0,1620702015.2
157,6.0,4.0,1620702015.2
158,10.0,4.0,1620702015.2
159,11.0,1.0,1620702015.2
160,12.0,-1.0,1620702015.2
161,13.0,2.0,1620702015.2
162,14.0,-7.0,1620702015.2
163,16.0,-3.0,1620702015.2
164,17.0,-7.0,1620702015.2
165,18.0,-7.0,1620702015.2
166,2.0,4.0,1620702016.2
167,4.0,-2.0,1620702016.2
168,6.0,5.0,1620702016.2
169,10.0,5.0,1620702016.2
170,11.0,2.0,1620702016.2
171,12.0,-1.0,1620702016.2
172,13.0,3.0,1620702016.2
173,14.0,-6.0,1620702016.2
174,16.0,-3.0,1620702016.2
175,17.0,-6.0,1620702016.2
176,18.0,-7.0,1620702016.2
177,2.0,3.0,1620702017.2
178,4.0,-3.0,1620702017.2
179,6.0,4.0,1620702017.2
180,10.0,4.0,1620702017.2
181,11.0,1.0,1620702017.2
182,12.0,-1.0,1620702017.2
183,13.0,2.0,1620702017.2
184,14.0,-7.0,1620702017.2
185,16.0,-3.0,1620702017.2
186,17.0,-7.0,1620702017.2
187,18.0,-7.0,1620702017.2
188,2.0,3.0,1620702018.3
189,4.0,-3.0,1620702018.3
190,6.0,4.0,1620702018.3
191,10.0,4.0,1620702018.3
192,11.0,2.0,1620702018.3
193,12.0,-1.0,1620702018.3
194,13.0,3.0,1620702018.3
195,14.0,-7.0,1620702018.3
196,16.0,-3.0,1620702018.3
197,17.0,-6.0,1620702018.3
198,18.0,-7.0,1620702018.3
199,2.0,4.0,1620702019.3
200,4.0,-2.0,1620702019.3
201,6.0,5.0,1620702019.3
202,10.0,4.0,1620702019.3
203,11.0,2.0,1620702019.3
204,12.0,-1.0,1620702019.3
205,13.0,3.0,1620702019.3
206,14.0,-6.0,1620702019.3
207,16.0,-3.0,1620702019.3
208,17.0,-6.0,1620702019.3
209,18.0,-7.0,1620702019.3
210,2.0,3.0,1620702020.3
211,4.0,-2.0,1620702020.3
212,6.0,4.0,1620702020.3
213,10.0,4.0,1620702020.3
214,11.0,2.0,1620702020.3
215,12.0,-1.0,1620702020.3
216,13.0,3.0,1620702020.3
217,14.0,-7.0,1620702020.3
218,16.0,-3.0,1620702020.3
219,17.0,-6.0,1620702020.3
220,18.0,-7.0,1620702020.3
221,2.0,3.0,1620702021.3
222,4.0,-3.0,1620702021.3
223,6.0,4.0,1620702021.3
224,10.0,4.0,1620702021.3
225,11.0,1.0,1620702021.3
226,12.0,-2.0,1620702021.3
227,13.0,2.0,1620702021.3
228,14.0,-7.0,1620702021.3
229,16.0,-3.0,1620702021.3
230,17.0,-7.0,1620702021.3
231,18.0,-7.0,1620702021.3
232,2.0,3.0,1620702022.3
233,4.0,-3.0,1620702022.3
234,6.0,4.0,1620702022.3
235,10.0,4.0,1620702022.3
236,11.0,1.0,1620702022.3
237,12.0,-2.0,1620702022.3
238,13.0,2.0,1620702022.3
239,14.0,-7.0,1620702022.3
240,16.0,-3.0,1620702022.3
241,17.0,-7.0,1620702022.3
242,18.0,-8.0,1620702022.3
243,2.0,3.0,1620702023.3
244,4.0,-2.0,1620702023.3
245,6.0,4.0,1620702023.3
246,10.0,4.0,1620702023.3
247,11.0,2.0,1620702023.3
248,12.0,-1.0,1620702023.3
249,13.0,3.0,1620702023.3
250,14.0,-7.0,1620702023.3
251,16.0,-3.0,1620702023.3
252,17.0,-6.0,1620702023.3
253,18.0,-7.0,1620702023.3
254,2.0,4.0,1620702024.4
255,4.0,-2.0,1620702024.4
256,6.0,4.0,1620702024.4
257,10.0,4.0,1620702024.4
258,11.0,2.0,1620702024.4
259,12.0,-1.0,1620702024.4
260,13.0,3.0,1620702024.4
261,14.0,-6.0,1620702024.4
262,16.0,-3.0,1620702024.4
263,17.0,-6.0,1620702024.4
264,18.0,-7.0,1620702024.4
265,2.0,4.0,1620702025.4
