,DOM,delay,Time
1,2.0,4.0,1621522802.0
2,4.0,-2.0,1621522802.0
3,5.0,-5.0,1621522802.0
4,6.0,5.0,1621522802.0
5,7.0,2.0,1621522802.0
6,8.0,-1.0,1621522802.0
7,9.0,-4.0,1621522802.0
8,10.0,1.0,1621522802.0
9,11.0,-1.0,1621522802.0
10,12.0,-4.0,1621522802.0
11,13.0,0.0,1621522802.0
12,16.0,-6.0,1621522802.0
13,17.0,3.0,1621522802.0
14,18.0,2.0,1621522802.0
15,2.0,4.0,1621522803.0
16,4.0,-2.0,1621522803.0
17,5.0,-5.0,1621522803.0
18,6.0,5.0,1621522803.0
19,7.0,2.0,1621522803.0
20,8.0,-1.0,1621522803.0
21,9.0,-4.0,1621522803.0
22,10.0,1.0,1621522803.0
23,11.0,-2.0,1621522803.0
24,12.0,-4.0,1621522803.0
25,13.0,0.0,1621522803.0
26,16.0,-6.0,1621522803.0
27,17.0,3.0,1621522803.0
28,18.0,2.0,1621522803.0
29,2.0,3.0,1621522804.0
30,4.0,-3.0,1621522804.0
31,5.0,-5.0,1621522804.0
32,6.0,4.0,1621522804.0
33,7.0,2.0,1621522804.0
34,8.0,-1.0,1621522804.0
35,9.0,-4.0,1621522804.0
36,10.0,1.0,1621522804.0
37,11.0,-2.0,1621522804.0
38,12.0,-4.0,1621522804.0
39,13.0,-1.0,1621522804.0
40,16.0,-6.0,1621522804.0
41,17.0,3.0,1621522804.0
42,18.0,2.0,1621522804.0
43,2.0,3.0,1621522805.0
44,4.0,-3.0,1621522805.0
45,5.0,-5.0,1621522805.0
46,6.0,4.0,1621522805.0
47,7.0,1.0,1621522805.0
48,8.0,-1.0,1621522805.0
49,9.0,-4.0,1621522805.0
50,10.0,0.0,1621522805.0
51,11.0,-2.0,1621522805.0
52,12.0,-5.0,1621522805.0
53,13.0,-1.0,1621522805.0
54,16.0,-6.0,1621522805.0
55,17.0,3.0,1621522805.0
56,18.0,2.0,1621522805.0
57,2.0,4.0,1621522806.0
58,4.0,-2.0,1621522806.0
59,5.0,-5.0,1621522806.0
60,6.0,5.0,1621522806.0
61,7.0,2.0,1621522806.0
62,8.0,-1.0,1621522806.0
63,9.0,-4.0,1621522806.0
64,10.0,1.0,1621522806.0
65,11.0,-1.0,1621522806.0
66,12.0,-4.0,1621522806.0
67,13.0,0.0,1621522806.0
68,16.0,-6.0,1621522806.0
69,17.0,3.0,1621522806.0
70,18.0,3.0,1621522806.0
71,2.0,4.0,1621522807.0
72,4.0,-2.0,1621522807.0
73,5.0,-5.0,1621522807.0
74,6.0,5.0,1621522807.0
75,7.0,2.0,1621522807.0
76,8.0,-1.0,1621522807.0
77,9.0,-4.0,1621522807.0
78,10.0,1.0,1621522807.0
79,11.0,-2.0,1621522807.0
80,12.0,-4.0,1621522807.0
81,13.0,0.0,1621522807.0
82,16.0,-6.0,1621522807.0
83,17.0,3.0,1621522807.0
84,18.0,2.0,1621522807.0
85,2.0,3.0,1621522808.1
86,4.0,-3.0,1621522808.1
87,5.0,-5.0,1621522808.1
88,6.0,4.0,1621522808.1
89,7.0,1.0,1621522808.1
90,8.0,-2.0,1621522808.1
91,9.0,-5.0,1621522808.1
92,10.0,0.0,1621522808.1
93,11.0,-2.0,1621522808.1
94,12.0,-5.0,1621522808.1
95,13.0,-1.0,1621522808.1
96,16.0,-7.0,1621522808.1
97,17.0,3.0,1621522808.1
98,18.0,2.0,1621522808.1
99,2.0,3.0,1621522809.1
100,4.0,-3.0,1621522809.1
101,5.0,-5.0,1621522809.1
102,6.0,4.0,1621522809.1
103,7.0,1.0,1621522809.1
104,8.0,-1.0,1621522809.1
105,9.0,-4.0,1621522809.1
106,10.0,1.0,1621522809.1
107,11.0,-2.0,1621522809.1
108,12.0,-5.0,1621522809.1
109,13.0,-1.0,1621522809.1
110,16.0,-7.0,1621522809.1
111,17.0,3.0,1621522809.1
112,18.0,2.0,1621522809.1
113,2.0,4.0,1621522810.1
114,4.0,-2.0,1621522810.1
115,5.0,-5.0,1621522810.1
116,6.0,5.0,1621522810.1
117,7.0,2.0,1621522810.1
118,8.0,-1.0,1621522810.1
119,9.0,-4.0,1621522810.1
120,10.0,1.0,1621522810.1
121,11.0,-2.0,1621522810.1
122,12.0,-4.0,1621522810.1
123,13.0,0.0,1621522810.1
124,16.0,-6.0,1621522810.1
125,17.0,3.0,1621522810.1
126,18.0,2.0,1621522810.1
127,2.0,4.0,1621522811.1
128,4.0,-2.0,1621522811.1
129,5.0,-5.0,1621522811.1
130,6.0,5.0,1621522811.1
131,7.0,2.0,1621522811.1
132,8.0,-1.0,1621522811.1
133,9.0,-4.0,1621522811.1
134,10.0,1.0,1621522811.1
135,11.0,-1.0,1621522811.1
136,12.0,-4.0,1621522811.1
137,13.0,0.0,1621522811.1
138,16.0,-6.0,1621522811.1
139,17.0,3.0,1621522811.1
140,18.0,2.0,1621522811.1
141,2.0,3.0,1621522812.1
142,4.0,-3.0,1621522812.1
143,5.0,-5.0,1621522812.1
144,6.0,4.0,1621522812.1
145,7.0,1.0,1621522812.1
146,8.0,-1.0,1621522812.1
147,9.0,-4.0,1621522812.1
148,10.0,1.0,1621522812.1
149,11.0,-2.0,1621522812.1
150,12.0,-5.0,1621522812.1
151,13.0,-1.0,1621522812.1
152,16.0,-7.0,1621522812.1
153,17.0,3.0,1621522812.1
154,18.0,2.0,1621522812.1
155,2.0,4.0,1621522813.1
156,4.0,-2.0,1621522813.1
157,5.0,-5.0,1621522813.1
158,6.0,4.0,1621522813.1
159,7.0,2.0,1621522813.1
160,8.0,-1.0,1621522813.1
161,9.0,-4.0,1621522813.1
162,10.0,1.0,1621522813.1
163,11.0,-2.0,1621522813.1
164,12.0,-4.0,1621522813.1
165,13.0,0.0,1621522813.1
166,16.0,-6.0,1621522813.1
167,17.0,3.0,1621522813.1
168,18.0,2.0,1621522813.1
169,2.0,4.0,1621522814.2
170,4.0,-2.0,1621522814.2
171,5.0,-5.0,1621522814.2
172,6.0,5.0,1621522814.2
173,7.0,2.0,1621522814.2
174,8.0,-1.0,1621522814.2
175,9.0,-4.0,1621522814.2
176,10.0,1.0,1621522814.2
177,11.0,-2.0,1621522814.2
178,12.0,-4.0,1621522814.2
179,13.0,0.0,1621522814.2
180,16.0,-6.0,1621522814.2
181,17.0,3.0,1621522814.2
182,18.0,2.0,1621522814.2
183,2.0,3.0,1621522815.2
184,4.0,-2.0,1621522815.2
185,5.0,-5.0,1621522815.2
186,6.0,5.0,1621522815.2
187,7.0,2.0,1621522815.2
188,8.0,-1.0,1621522815.2
189,9.0,-4.0,1621522815.2
190,10.0,1.0,1621522815.2
191,11.0,-2.0,1621522815.2
192,12.0,-4.0,1621522815.2
193,13.0,0.0,1621522815.2
194,16.0,-6.0,1621522815.2
195,17.0,3.0,1621522815.2
196,18.0,2.0,1621522815.2
197,2.0,4.0,1621522816.2
198,4.0,-2.0,1621522816.2
199,5.0,-5.0,1621522816.2
200,6.0,5.0,1621522816.2
201,7.0,2.0,1621522816.2
202,8.0,-1.0,1621522816.2
203,9.0,-4.0,1621522816.2
204,10.0,1.0,1621522816.2
205,11.0,-1.0,1621522816.2
206,12.0,-4.0,1621522816.2
207,13.0,0.0,1621522816.2
208,16.0,-6.0,1621522816.2
209,17.0,3.0,1621522816.2
210,18.0,3.0,1621522816.2
211,2.0,4.0,1621522817.2
212,4.0,-2.0,1621522817.2
213,5.0,-5.0,1621522817.2
214,6.0,4.0,1621522817.2
215,7.0,2.0,1621522817.2
216,8.0,-1.0,1621522817.2
217,9.0,-4.0,1621522817.2
218,10.0,1.0,1621522817.2
219,11.0,-2.0,1621522817.2
220,12.0,-4.0,1621522817.2
221,13.0,0.0,1621522817.2
